seed,state_idx,ego_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,top_k,oracle_core_f1,oracle_core_f1_random_baseline,oracle_core_f1_adjusted,dr_applied,dr_applied_rows,dr_clipped_rows,dr_raw_inverse_max,dr_correction_mean,replay_consistency_abs_error,bias,variance,mae,rmse,rank_correlation,p_value,constant_case,signed_bias,signed_mae,signed_rmse,signed_spearman,signed_p_value,signed_constant_case,sign_agreement,direction_row_aipw_signed_bias,direction_row_aipw_signed_mae,direction_row_aipw_signed_rmse,direction_row_aipw_signed_spearman,direction_row_aipw_signed_p_value,direction_row_aipw_signed_constant_case,direction_row_aipw_sign_agreement,direction_crossfit_aipw_signed_bias,direction_crossfit_aipw_signed_mae,direction_crossfit_aipw_signed_rmse,direction_crossfit_aipw_signed_spearman,direction_crossfit_aipw_signed_p_value,direction_crossfit_aipw_signed_constant_case,direction_crossfit_aipw_sign_agreement,q_mae,q_rmse,q_spearman,q_constant_case,q_centered_mae,q_centered_rmse,q_within_state_action_spearman,q_within_state_action_spearman_sum,q_nonconstant_surface_count,q_raw_mae,q_raw_rmse,q_centered_sq_error_sum,q_centered_oracle_sq_sum,q_centered_value_count,capacity_active_count,capacity_null_count,capacity_active_mae,capacity_active_spearman,capacity_null_fpr,direction_active_count,direction_null_count,direction_active_mae,direction_active_spearman,direction_null_fpr,direction_active_sign_agreement,capacity_rank_correlation,capacity_mae,capacity_bias,direction_spearman,direction_mae,direction_bias,direction_sign_agreement,range_bias,range_variance,range_mae,range_rmse,range_rank_correlation,range_p_value,range_constant_case,oracle_topk_ids,learned_topk_ids,oracle_topk_gap,oracle_topk_unique,capacity_topk_match,lambda_topk_Q,lambda_topk_actual_error,capacity_topk_q_certified,capacity_topk_q_certified_violation,capacity_topk_actual_error_certified,capacity_topk_actual_error_certified_violation,capacity_topk_interval_separation,capacity_topk_interval_certified,capacity_topk_interval_certified_violation,oracle_full_rank_min_gap,oracle_full_rank_unique,lambda_full_rank_Q,strict_relation_pair_count,strict_relation_pair_order_accuracy,q_certified_relation_pair_count,q_certified_relation_pair_violation_count,actual_error_certified_relation_pair_count,actual_error_certified_relation_pair_violation_count,capacity_q_error_bound_violation_count
5005,0,0,0,f76e554ac9f5ad174f14bf040667c87ddc158e136dec276b0e6d481720f0da71,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.003585329744964838,0.0001678401604294777,0.011276284232735634,0.013442275114357471,0.7826237921249264,0.11761376087345812,0,-0.004646259360015392,0.005003673490136862,0.009880256839096546,-0.7071067811865475,0.18169011381620942,0,0.0,-0.004646259360015392,0.005003673490136862,0.009880256839096546,-0.7071067811865475,0.18169011381620942,0,0.0,-0.002109670313075185,0.0056072017177939415,0.008898276835680008,-0.35355339059327373,0.5594043441634877,0,1.0,0.003116624148151997,0.005996356932263286,0.18671737428131335,0,0.003116624148151997,0.005996356932263286,0.4438390819708611,0.8876781639417222,2,0.005816680170559826,0.011692697334473265,0.0023371592698416275,0.0026889228906952487,65,2,3,0.018577017821371555,-0.9999999999999999,0.0,1,4,0.022035755980401646,nan,0.0,0.0,0.7826237921249264,0.011276284232735634,-0.003585329744964838,-0.7071067811865475,0.005003673490136862,-0.004646259360015392,0.0,-0.003585329744964838,0.0001678401604294777,0.011276284232735634,0.013442275114357471,0.7826237921249264,0.11761376087345812,0,2,5,0.00899999774992466,1,0,5.1804801672738545,4.128227214618374,0,0,0,0,-0.04344491986557841,0,0,0.0,0,inf,7,0.8571428571428571,5,0,6,0,0
5005,0,1,0,f76e554ac9f5ad174f14bf040667c87ddc158e136dec276b0e6d481720f0da71,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.002293638652190566,4.8070225602714345e-05,0.0066171674989163876,0.00730280764400959,0.8944271909999157,0.04051932635383408,0,0.0007603609119541943,0.0009851104114204645,0.0010760303121060133,0.0,1.0,1,0.0,0.0007603609119541943,0.0009851104114204645,0.0010760303121060133,0.0,1.0,1,0.0,0.0010782458120957017,0.001981474459171295,0.002326270332559943,0.0,1.0,1,0.0,0.001354468103323253,0.0018172042435310345,0.4165501002448397,0,0.001354468103323253,0.0018172042435310345,0.6289709020331511,1.2579418040663022,2,0.0023787743042563447,0.0027215000470140745,0.00021464503207596796,0.0008099999302625671,65,2,3,0.006143905222415924,0.9999999999999999,0.0,0,5,nan,nan,0.0,nan,0.8944271909999157,0.0066171674989163876,0.002293638652190566,0.0,0.0009851104114204645,0.0007603609119541943,0.0,0.002293638652190566,4.8070225602714345e-05,0.0066171674989163876,0.00730280764400959,0.8944271909999157,0.04051932635383408,0,4,4,0.017999999225139618,1,1,0.7986832339991531,0.6826561652108369,1,0,1,0,-0.00866410881280899,0,0,0.0,0,inf,7,1.0,7,0,7,0,0
5005,0,2,0,f76e554ac9f5ad174f14bf040667c87ddc158e136dec276b0e6d481720f0da71,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.0014938547974452376,0.00012833878281526268,0.010135427117347717,0.011426739394664764,0.7826237921249264,0.11761376087345812,0,-0.0033925131428986788,0.004463741090148687,0.008724827319383621,0.35355339059327373,0.5594043441634877,0,1.0,-0.0033925131428986788,0.004463741090148687,0.008724827319383621,0.35355339059327373,0.5594043441634877,0,1.0,-0.003937795292586088,0.0053407903760671616,0.009974128566682339,-0.7071067811865475,0.18169011381620942,0,0.0,0.003168032067371863,0.005667820880420384,0.3725153968150535,0,0.003168032067371863,0.005667820880420384,0.6489119115325332,1.2978238230650665,2,0.006280879568769776,0.011065964224053444,0.002088072579614404,0.0026889228906952483,65,2,3,0.01453660149127245,-0.9999999999999999,0.3333333333333333,1,4,0.019433080516397368,nan,0.0,1.0,0.7826237921249264,0.010135427117347717,-0.0014938547974452376,0.35355339059327373,0.004463741090148687,-0.0033925131428986788,1.0,-0.0014938547974452376,0.00012833878281526268,0.010135427117347717,0.011426739394664764,0.7826237921249264,0.11761376087345812,0,0,5,0.00899999774992466,1,0,4.562633424927207,3.2303566945656486,0,0,0,0,-0.03907390497624874,0,0,0.0,0,inf,7,0.8571428571428571,5,0,6,0,0
5005,1,0,1,7c463287f2157fb613ff097eb9584f03c9357334ab8c5583d151bc21d61a42fb,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.0027748453430831432,5.435423372546211e-05,0.007155495695769787,0.007877436466515064,0.8944271909999157,0.04051932635383408,0,-2.598122136987513e-06,0.0006929132505320013,0.0008031879551708698,0.0,1.0,1,0.0,-2.598122136987513e-06,0.0006929132505320013,0.0008031879551708698,0.0,1.0,1,0.0,0.0007452535792253911,0.0008219314040616155,0.0012359479442238808,0.0,1.0,1,0.0,0.0012891272476945933,0.0018833281759434945,0.4165501002448397,0,0.0012891272476945933,0.0018833281759434945,0.6289709020331511,1.2579418040663022,2,0.004499037701708193,0.004810340070186104,0.00023055012618967223,0.000611999965935946,65,2,3,0.005475812591612339,0.9999999999999999,0.3333333333333333,0,5,nan,nan,0.0,nan,0.8944271909999157,0.007155495695769787,0.0027748453430831432,0.0,0.0006929132505320013,-2.598122136987513e-06,0.0,0.0027748453430831432,5.435423372546211e-05,0.007155495695769787,0.007877436466515064,0.8944271909999157,0.04051932635383408,0,5,5,0.012000000104308128,1,1,1.1133254253699407,0.9126354240024488,0,0,1,0,-0.01113435672596097,0,0,0.0,0,inf,7,1.0,6,0,7,0,0
5005,1,1,1,7c463287f2157fb613ff097eb9584f03c9357334ab8c5583d151bc21d61a42fb,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.003233719617128372,6.132890848675743e-05,0.0078915199264884,0.008472652174532413,0.8944271909999157,0.04051932635383408,0,0.00045832613250240684,0.0006422214792110026,0.0008334820158779621,0.7071067811865475,0.18169011381620942,0,1.0,0.00045832613250240684,0.0006422214792110026,0.0008334820158779621,0.7071067811865475,0.18169011381620942,0,1.0,0.0006880786968395114,0.0029091995675116777,0.0037902402691543102,0.0,1.0,0,1.0,0.0014214524853225113,0.0019757062222930384,0.4165501002448397,0,0.0014214524853225113,0.0019757062222930384,0.6289709020331511,1.2579418040663022,2,0.0027395094870231473,0.0030892160663118255,0.0002537219799924828,0.0008099999302625671,65,2,3,0.007337502203881741,0.9999999999999999,0.3333333333333333,1,4,0.0003534701174125049,nan,0.0,1.0,0.8944271909999157,0.0078915199264884,0.003233719617128372,0.7071067811865475,0.0006422214792110026,0.00045832613250240684,1.0,0.003233719617128372,6.132890848675743e-05,0.0078915199264884,0.008472652174532413,0.8944271909999157,0.04051932635383408,0,4,4,0.017999999225139618,1,1,0.9072438117751465,0.8152780577494527,1,0,1,0,-0.013005393091589212,0,0,0.0,0,inf,7,1.0,7,0,7,0,0
5005,1,2,1,7c463287f2157fb613ff097eb9584f03c9357334ab8c5583d151bc21d61a42fb,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.003474269527941942,4.186945079709403e-05,0.006707490887492895,0.007344385609030724,0.8944271909999157,0.04051932635383408,0,-0.00013498999760486186,0.001151195727288723,0.001219363184645772,0.0,1.0,1,0.0,-0.00013498999760486186,0.001151195727288723,0.001219363184645772,0.0,1.0,1,0.0,-0.0012140856124460697,0.0013146132696419954,0.0014194946270436049,0.0,1.0,1,0.0,0.0012631810871614197,0.0017638928608633092,0.4165501002448397,0,0.0012631810871614197,0.0017638928608633092,0.6289709020331511,1.2579418040663022,2,0.0029564171890692353,0.003277312079285859,0.0002022356715992957,0.000611999965935946,65,2,3,0.004794801585376263,0.9999999999999999,0.3333333333333333,0,5,nan,nan,0.0,nan,0.8944271909999157,0.006707490887492895,0.003474269527941942,0.0,0.001151195727288723,-0.00013498999760486186,0.0,0.003474269527941942,4.186945079709403e-05,0.006707490887492895,0.007344385609030724,0.8944271909999157,0.04051932635383408,0,5,5,0.012000000104308128,1,1,0.9975938602404582,0.7991335906163664,1,0,1,0,-0.009560729493387043,0,0,0.0,0,inf,7,1.0,7,0,7,0,0
5005,2,0,2,e1b369d0d11d625caacbd6fb36ed2d6931d1897376fdbcfb28b95c2b3cbb82c1,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.002015337347984314,0.00018321213428862393,0.012290902435779572,0.013684798032045364,0.7826237921249264,0.11761376087345812,0,-0.0005138853448443115,0.0009377773967571557,0.0013760040747001767,-0.8944271909999157,0.04051932635383408,0,0.0,-0.0005138853448443115,0.0009377773967571557,0.0013760040747001767,-0.8944271909999157,0.04051932635383408,0,0.0,0.00016326465993188322,0.0009007530170492828,0.0010994903277605772,0.8944271909999157,0.04051932635383408,0,1.0,0.0022256370237064083,0.00414931770468773,0.20495260806339238,0,0.0022256370237064083,0.00414931770468773,0.5597115590382176,1.1194231180764351,2,0.00333153076756459,0.004742231557543276,0.0011190944319382783,0.0014427690895027912,65,2,3,0.01788280112668872,-0.9999999999999999,0.3333333333333333,0,5,nan,nan,0.0,nan,0.7826237921249264,0.012290902435779572,-0.002015337347984314,-0.8944271909999157,0.0009377773967571557,-0.0005138853448443115,0.0,-0.002015337347984314,0.00018321213428862393,0.012290902435779572,0.013684798032045364,0.7826237921249264,0.11761376087345812,0,2,5,0.008999998681247234,1,0,4.930478829223872,3.9739563882270463,0,0,0,0,-0.04131010081619024,0,0,0.0,0,inf,7,0.8571428571428571,3,0,6,0,0
5005,2,1,2,e1b369d0d11d625caacbd6fb36ed2d6931d1897376fdbcfb28b95c2b3cbb82c1,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0016713751247152686,7.74950094637461e-05,0.006942401640117168,0.008960384875535965,0.8944271909999157,0.04051932635383408,0,0.0005350370774976909,0.0008253484265878797,0.0011587591143324971,0.7071067811865475,0.18169011381620942,0,1.0,0.0005350370774976909,0.0008253484265878797,0.0011587591143324971,0.7071067811865475,0.18169011381620942,0,1.0,-0.0035198580008000135,0.005222241394221783,0.005406534299254417,-0.35355339059327373,0.5594043441634877,0,1.0,0.001093549235274784,0.0019472142838590728,0.4165501002448397,0,0.001093549235274784,0.0019472142838590728,0.6289709020331511,1.2579418040663022,2,0.0032788398393537276,0.003666840059187422,0.00024645682537221213,0.0008099999302625671,65,2,3,0.010767221450805664,0.9999999999999999,0.0,1,4,0.002253616090305152,nan,0.0,1.0,0.8944271909999157,0.006942401640117168,-0.0016713751247152686,0.7071067811865475,0.0008253484265878797,0.0005350370774976909,1.0,-0.0016713751247152686,7.74950094637461e-05,0.006942401640117168,0.008960384875535965,0.8944271909999157,0.04051932635383408,0,4,4,0.017999999225139618,1,1,1.278028800841419,1.1963579904789854,0,0,0,0,-0.019869156647473574,0,0,0.0,0,inf,7,1.0,6,0,6,0,0
5005,2,2,2,e1b369d0d11d625caacbd6fb36ed2d6931d1897376fdbcfb28b95c2b3cbb82c1,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.0032697159331291914,0.00014126325550023466,0.010466431267559528,0.012326975353062153,0.7826237921249264,0.11761376087345812,0,-0.0008576927939429879,0.0012850563507527113,0.0013457227032631636,0.30779350562554625,0.614384002810333,0,1.0,-0.0008576927939429879,0.0012850563507527113,0.0013457227032631636,0.30779350562554625,0.614384002810333,0,1.0,9.648071136325598e-05,0.0009233152377419174,0.001098751905374229,0.20519567041703082,0.7405819415910723,0,1.0,0.0019440822788244169,0.0037993226411895207,0.26971366218511805,0,0.0019440822788244169,0.0037993226411895207,0.6804668395034201,1.3609336790068403,2,0.0020138619181055287,0.004187073112163321,0.0009382654145705956,0.0014427691875065758,65,2,3,0.01717018475756049,-0.9999999999999999,0.0,0,5,nan,nan,0.0,nan,0.7826237921249264,0.010466431267559528,-0.0032697159331291914,0.30779350562554625,0.0012850563507527113,-0.0008576927939429879,1.0,-0.0032697159331291914,0.00014126325550023466,0.010466431267559528,0.012326975353062153,0.7826237921249264,0.11761376087345812,0,0,5,0.008999998681247234,1,0,4.629735892401182,3.8155971718833674,0,0,0,0,-0.04072809312492609,0,0,0.0,0,inf,7,0.8571428571428571,6,0,6,0,0
5005,3,0,3,596faf970a328146de77c4f3abd1c034f8fd5611b68d62ba6705c0ce9b642742,fcccee6e8ba980c82937dee9d477f153da63e126e141f70859017ee9e1d4366d,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.020932968705892563,0.00018705229740589857,0.021148759871721268,0.025004828348755836,0.7826237921249264,0.11761376087345812,0,-0.0024920927826315165,0.0031805813778191805,0.004158114083111286,0.6708203932499368,0.21516994256955022,0,1.0,-0.0024920927826315165,0.0031805813778191805,0.004158114083111286,0.6708203932499368,0.21516994256955022,0,1.0,0.003561427118256688,0.003561427118256688,0.003801915794610977,0.6708203932499368,0.21516994256955022,0,1.0,0.005548583769057629,0.008134132072489454,0.12606204859014095,0,0.005548583769057629,0.008134132072489454,0.546013432628174,1.092026865256348,2,0.13862412804021285,0.13918999736808613,0.004300666797225603,0.001451769475441746,65,2,3,0.005369860678911209,-0.9999999999999999,1.0,0,5,nan,nan,0.4,nan,0.7826237921249264,0.021148759871721268,0.020932968705892563,0.6708203932499368,0.0031805813778191805,-0.0024920927826315165,1.0,0.020932968705892563,0.00018705229740589857,0.021148759871721268,0.025004828348755836,0.7826237921249264,0.11761376087345812,0,2,5,0.009000003337860107,1,0,6.804596592602404,1.193301930527501,0,0,0,0,-0.05950167402625084,0,0,0.0,0,inf,7,0.8571428571428571,0,0,3,0,0
