seed,state_idx,ego_id,neighbor_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,learned_q_range,oracle_q_range_from_surface,capacity_head_q_range_consistency_abs,capacity_q_error_bound,capacity_q_error_bound_violation,direction_head_q_consistency_abs,oracle_direction_q_consistency_abs,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation,learned_direction_from_q,oracle_direction_from_q,direction_weight_l1,direction_q_error_bound,direction_sign_margin,lambda_D,direction_sign_match_from_q,direction_sign_certified,direction_sign_violation,oracle_capacity_rank,learned_capacity_rank,oracle_capacity_topk_member,learned_capacity_topk_member,oracle_capacity_margin_to_topk_boundary
5001,0,0,1,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.00589248351752758,0.0,-0.0019629187881946564,-0.0019629187881946564,0.0,0.00589248351752758,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001361554464493333,0.0009355394599529413,0.00589248351752758,-0.0019629187881946564,0.00589248351752758,0.0019629187881946564,0.002262700581923127,0.0025590937584638596,0.002262700581923127,0,0.005892483284696937,0.0,2.3283064365386963e-10,0.005892483284696937,0,9.64888797767155e-10,0.0,0,0,10,3,13,13,0,1,1,1,0.0,0.0,0.0,1,0.006376251112669706,-0.003430009470321238,0.0029462416423484683,0.0029462416423484683,inf,inf,0,0,-0.001962919753083454,0.0,1.6615384505345263,0.004895293773327972,0.0,inf,0,0,0,3,5,0,0,0.029999999329447746
5001,0,0,2,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.019269835203886032,0.029999999329447746,0.00029987687594257295,0.00029987687594257295,0.0,0.019269835203886032,0.029999999329447746,1,3,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0023335859562317305,0.001609332046675435,0.010730164125561714,0.00029987687594257295,0.010730164125561714,0.00029987687594257295,0.0031235194765031338,0.007229221984744072,0.0031235194765031338,0,0.01926983566954732,0.029999999329447746,4.656612873077393e-10,0.010730163659900427,0,3.7863853545594406e-11,0.0,10,11,10,11,1,1,1,1,1,1,0.014999999664723873,0.014999999664723873,0.014999999664723873,0,0.007891403045505285,-0.002526321215555072,0.005365081829950213,0.005365081829950213,0.357672129991276,0.5260935481261262,1,0,0.0002998769138064265,0.0,1.6615384505345263,0.008914289750726419,0.0,inf,0,0,0,1,2,1,0,0.0
5001,0,0,3,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.00835835374891758,0.0,-0.002496242057532072,-0.002496242057532072,0.0,0.00835835374891758,0.0,0,1,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.002017032402584753,0.0014287648810701963,0.00835835374891758,-0.002496242057532072,0.00835835374891758,0.002496242057532072,0.004340536892414093,0.0034397428389638662,0.004340536892414093,0,0.00835835374891758,0.0,0.0,0.00835835374891758,0,1.0783949557988115e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.007292767520993948,-0.003113590646535158,0.00417917687445879,0.00417917687445879,inf,inf,0,0,-0.0024962421653715676,0.0,1.6615384522538923,0.0069438630756835165,0.0,inf,0,0,0,4,3,0,0,0.029999999329447746
5001,0,0,4,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.021063752472400665,0.029999999329447746,0.0011259178863838315,0.0011259178863838315,0.0,0.021063752472400665,0.029999999329447746,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0019863128992326515,0.0014300449205749838,0.008936246857047081,0.0011259178863838315,0.008936246857047081,0.0011259178863838315,0.0023428364656865597,0.007817097939550877,0.0023428364656865597,0,0.021063752006739378,0.029999999329447746,4.656612873077393e-10,0.008936247322708368,0,1.3282700612148035e-10,0.0,10,11,10,11,1,1,1,1,1,1,0.014999999664723873,0.014999999664723873,0.014999999664723873,0,0.008196223992854357,-0.0037281003315001726,0.004468123661354184,0.004468123661354184,0.29787491741496885,0.5464149450702829,1,0,0.0011259177535568254,0.0,1.6615384505345263,0.007423959265083086,0.0,inf,0,0,0,2,1,0,1,0.0
5001,0,0,5,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.006026876624673605,0.0,0.0006186036043800414,0.0006186036043800414,0.0,0.006026876624673605,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0014371717771391255,0.0009762340496685466,0.006026876624673605,0.0006186036043800414,0.006026876624673605,0.0006186036043800414,0.0017325078370049596,0.002827052026987076,0.0017325078370049596,0,0.006026876799296588,0.0,1.7462298274040222e-10,0.006026876799296588,0,1.6215303644089019e-10,0.0,0,0,10,3,13,13,0,1,1,1,0.0,0.0,0.0,1,0.00516641978174448,-0.0021529813820961863,0.003013438399648294,0.003013438399648294,inf,inf,0,0,0.0006186034422270049,0.0,1.6615384505345263,0.005006943769332869,0.0,inf,0,0,0,5,4,0,0,0.029999999329447746
5001,0,1,0,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.0037365341559052467,0.0,-0.00024117599241435528,-0.00024117599241435528,-1.734723475976807e-18,0.0037365341559052467,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0009795077103263152,0.000798689972984015,0.0037365341559052467,-0.00024117599241435354,0.0037365341559052467,0.00024117599241435354,0.002619007369503379,0.0020409985445439816,0.002619007369503379,0,0.0037365341559052467,0.0,0.0,0.0037365341559052467,0,8.903232144585882e-10,1.734723475976807e-18,0,0,8,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.002037040889263153,0.0001687738113105297,0.0018682670779526234,0.0018682670779526234,inf,inf,0,0,-0.00024117688273756974,-3.469446951953614e-18,1.6615384505345263,0.0031041975858860688,3.469446951953614e-18,inf,0,0,0,3,5,0,0,0.029999999329447746
5001,0,1,2,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.005607416853308678,0.0,-0.0006963700870983303,-0.0006963700870983303,-1.734723475976807e-18,0.005607416853308678,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.001383813917103164,0.0009920483333824654,0.005607416853308678,-0.0006963700870983285,0.005607416853308678,0.0006963700870983285,0.0033335136249661446,0.0039670285768806934,0.0033335136249661446,0,0.005607416853308678,0.0,0.0,0.005607416853308678,0,9.314569324181399e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.005100707523524761,-0.0022969990968704224,0.002803708426654339,0.002803708426654339,inf,inf,0,0,-0.0006963691556413978,-1.734723475976807e-18,1.6615384505345263,0.004658469354973845,1.734723475976807e-18,inf,0,0,0,4,4,0,0,0.029999999329447746
5001,0,1,3,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.019448140636086464,0.029999999329447746,-0.009399502538144588,-0.009399502538144588,-0.01349999962281436,0.019448140636086464,0.029999999329447746,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.002329418990811318,0.0016100242411574493,0.010551858693361282,0.004100497084669771,0.010551858693361282,0.004100497084669771,0.001721561187878251,0.005713772494345903,0.001721561187878251,0,0.01944814110174775,0.029999999329447746,4.656612873077393e-10,0.010551858227699995,0,1.395614665500311e-10,1.734723475976807e-18,10,11,10,11,1,1,1,1,1,1,0.014999999664723873,0.014999999664723873,0.014999999664723873,0,0.008261374663561583,-0.002985445549711585,0.0052759291138499975,0.0052759291138499975,0.35172861545174705,0.5507583232145133,1,0,-0.009399502677706055,-0.013499999622814358,1.6615384522538923,0.008766159094027575,0.013499999622814358,0.6493451362186101,1,1,0,1,1,1,1,0.017999999225139618
5001,0,1,4,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.007104421034455299,0.0,0.0002141157165169716,0.0002141157165169716,-1.734723475976807e-18,0.007104421034455299,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0016023832779704012,0.001127492416010806,0.007104421034455299,0.00021411571651697332,0.007104421034455299,0.00021411571651697332,0.0025783369783312082,0.003944080788642168,0.0025783369783312082,0,0.007104421034455299,0.0,0.0,0.007104421034455299,0,5.81703630576913e-10,1.734723475976807e-18,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004166102968156338,-0.000613892450928688,0.0035522105172276497,0.0035522105172276497,inf,inf,0,0,0.000214115134813341,-3.469446951953614e-18,1.6615384505345263,0.005902134358766877,3.469446951953614e-18,inf,0,0,0,5,3,0,0,0.029999999329447746
5001,0,1,5,0,70105539cf07d21a396a5265a501ba678bf245f57fe42cf53d0aded4b1346aae,3a7b5b63d4f5a16949cb0ae7bfac60846858d7f7dbcde2ae1a6b83830bf77e5e,0.015919670462608337,0.012000000104308128,0.0005539885605685413,0.0005539885605685413,1.734723475976807e-18,0.015919670462608337,0.012000000104308128,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001171109068322575,0.0008734927441065128,0.003919670358300209,0.0005539885605685396,0.003919670358300209,0.0005539885605685396,0.0016891570994630456,0.005590935703366995,0.0016891570994630456,0,0.015919671393930912,0.012000000104308128,9.313225746154785e-10,0.004622293636202812,0,7.530306656011732e-10,1.734723475976807e-18,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.003349706530570984,-0.0010385597124695778,0.002311146818101406,0.002311146818101406,0.3851911330020205,0.5582844169090304,1,0,0.0005539893135992069,0.0,1.6615384505345263,0.003840059303106011,0.0,inf,0,0,0,2,2,0,0,0.017999999225139618
