seed,state_idx,ego_id,neighbor_id,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied
3003,0,0,1,0.008644220419228077,0.0,0.0013904470251873136,0.0013904470251873136,0.0,0.008644220419228077,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.00198079552048982,0.0014210501024444428,0.008644220419228077,0.0013904470251873136,0.008644220419228077,0.0013904470251873136,0.0024037081748247147,0.004232766106724739,0.0024037081748247147,0
3003,0,0,2,0.020302293822169304,0.024000000208616257,0.0007734224782325327,0.0007734224782325327,-3.469446951953614e-18,0.020302293822169304,0.024000000208616257,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012159403610185041,0.0008738564531258225,0.003697706386446953,0.0007734224782325362,0.003697706386446953,0.0007734224782325362,0.0021753855980932713,0.00942856166511774,0.0021753855980932713,0
3003,0,0,3,0.019393227994441986,0.02999999839812517,-0.007305431645363569,-0.007305431645363569,-0.013499999558338183,0.019393227994441986,0.02999999839812517,1,3,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.0023767190696471242,0.001586564426646518,0.010606770403683186,0.006194567912974614,0.010606770403683186,0.006194567912974614,0.003828332992270589,0.008665453642606735,0.003828332992270589,0
3003,0,0,4,0.019899968057870865,0.038999997079372406,0.001759811188094318,0.001759811188094318,0.002076923145697667,0.019899968057870865,0.038999997079372406,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.008193956682101062,0.004336408785814366,0.01910002902150154,-0.0003171119576033492,0.01910002902150154,0.0003171119576033492,0.002627862384542823,0.009975260123610497,0.002627862384542823,0
3003,0,0,5,0.007241331972181797,0.0,0.0005588775966316462,0.0005588775966316462,3.469446951953614e-18,0.007241331972181797,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018016695268523047,0.001336515743351547,0.007241331972181797,0.0005588775966316427,0.007241331972181797,0.0005588775966316427,0.001804832718335092,0.00395785691216588,0.001804832718335092,0
3003,0,1,0,0.005845239851623774,0.0,1.9635228454717435e-05,1.9635228454717435e-05,0.0,0.005845239851623774,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0016063490571540941,0.0013408700378393665,0.005845239851623774,1.9635228454717435e-05,0.005845239851623774,1.9635228454717435e-05,0.0011900421231985092,0.00184253987390548,0.0011900421231985092,0
3003,0,1,2,0.0074486760422587395,0.0,0.0006292786565609276,0.0006292786565609276,0.0,0.0074486760422587395,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0019084981104556665,0.0014764385725583016,0.0074486760422587395,0.0006292786565609276,0.0074486760422587395,0.0006292786565609276,0.001861324068158865,0.0024956746492534876,0.001861324068158865,0
3003,0,1,3,0.006642442662268877,0.029999999329447746,-0.002167990431189537,-0.002167990431189537,0.002076923018894517,0.006642442662268877,0.029999999329447746,1,2,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.00838382433289127,0.004679531983193562,0.02335755666717887,-0.0042449134500840546,0.02335755666717887,0.0042449134500840546,0.003416533349081874,0.0021850646007806063,0.003416533349081874,0
3003,0,1,4,0.006125292740762234,0.0,0.0002551869547460228,0.0002551869547460228,-3.469446951953614e-18,0.006125292740762234,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0016488219694787587,0.0013657231193818372,0.006125292740762234,0.0002551869547460263,0.006125292740762234,0.0002551869547460263,0.0030164653435349464,0.0016700603300705552,0.0030164653435349464,0
3003,0,1,5,0.018677931278944016,0.01799999736249447,0.0003094566927757114,0.0003094566927757114,-1.289523557379546e-10,0.018677931278944016,0.01799999736249447,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013569559217693071,0.001034731620897886,0.0006779339164495468,0.00030945682172806716,0.0006779339164495468,0.00030945682172806716,0.003827363718301058,0.007922436110675335,0.003827363718301058,0
3003,0,2,0,0.01643325202167034,0.017999999225139618,-0.0010292002698406577,-0.0010292002698406577,0.0,0.01643325202167034,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013042976811641217,0.0009232059348623968,0.0015667472034692764,-0.0010292002698406577,0.0015667472034692764,0.0010292002698406577,0.0018493873067200184,0.007300396915525198,0.0018493873067200184,0
3003,0,2,1,0.010323837399482727,0.0,0.0008608191274106503,0.0008608191274106503,0.0,0.010323837399482727,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0025625224101012466,0.0018443169682589773,0.010323837399482727,0.0008608191274106503,0.010323837399482727,0.0008608191274106503,0.0018404544098302722,0.006160343531519175,0.0018404544098302722,0
3003,0,2,3,0.018335813656449318,0.029999999329447746,-0.007495006546378136,-0.007495006546378136,-0.01349999962281436,0.018335813656449318,0.029999999329447746,1,3,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.002530915821160145,0.0017269986327572244,0.011664185672998428,0.006004993076436224,0.011664185672998428,0.006004993076436224,0.0027332352474331856,0.007093582767993212,0.0027332352474331856,0
3003,0,2,4,0.016443248838186264,0.017999999225139618,0.0025871607940644026,0.0025871607940644026,0.0,0.016443248838186264,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012909140012632486,0.0009445034493774881,0.0015567503869533539,0.0025871607940644026,0.0015567503869533539,0.0025871607940644026,0.0022716305684298277,0.007290346547961235,0.0022716305684298277,0
3003,0,2,5,0.007983461022377014,0.0,0.001967897405847907,0.001967897405847907,0.0,0.007983461022377014,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0019878157813374023,0.0014746509614323414,0.007983461022377014,0.001967897405847907,0.007983461022377014,0.001967897405847907,0.002226940356194973,0.004768878687173128,0.002226940356194973,0
3003,1,0,1,0.00559750571846962,0.0,0.0005889828316867352,0.0005889828316867352,0.0,0.00559750571846962,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012932459107546331,0.0008916574249253471,0.00559750571846962,0.0005889828316867352,0.00559750571846962,0.0005889828316867352,0.0025238434318453074,0.004417363088577986,0.0025238434318453074,0
3003,1,0,2,0.01849275827407837,0.023999999277293682,-0.0002518723194953054,-0.0002518723194953054,-6.447617613425383e-11,0.01849275827407837,0.023999999277293682,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0014636082256945593,0.0010189430666922119,0.005507241003215313,-0.0002518722550191293,0.005507241003215313,0.0002518722550191293,0.0019040899351239204,0.007882673293352127,0.0019040899351239204,0
3003,1,0,3,0.017965935170650482,0.029999999329447746,-0.006948579102754593,-0.006948579102754593,-0.01349999962281436,0.017965935170650482,0.029999999329447746,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.002540205066925029,0.0015206148864469937,0.012034064158797264,0.006551420520059767,0.012034064158797264,0.006551420520059767,0.0027926203329116106,0.007822821848094463,0.0027926203329116106,0
3003,1,0,4,0.016094181686639786,0.018000000156462193,-0.0008444099803455174,-0.0008444099803455174,6.447617613425383e-11,0.016094181686639786,0.018000000156462193,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0009702944786327437,0.0006563906618476625,0.0019058184698224068,-0.0008444100448216935,0.0019058184698224068,0.0008444100448216935,0.0016613679472357035,0.008013829588890076,0.0016613679472357035,0
3003,1,0,5,0.00445563904941082,0.0,0.0006898118299432099,0.0006898118299432099,0.0,0.00445563904941082,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0010628994727843698,0.0008214040929396476,0.00445563904941082,0.0006898118299432099,0.00445563904941082,0.0006898118299432099,0.0022161242086440325,0.004147917963564396,0.0022161242086440325,0
3003,1,1,0,0.004579335451126099,0.0,0.00010825802019098774,0.00010825802019098774,0.0,0.004579335451126099,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0012320787099053705,0.0009473997537465491,0.004579335451126099,0.00010825802019098774,0.004579335451126099,0.00010825802019098774,0.0011126045137643814,0.0030788856092840433,0.0011126045137643814,0
3003,1,1,2,0.007053278386592865,0.0,-0.00045454376959241927,-0.00045454376959241927,0.0,0.007053278386592865,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0015976025266893578,0.0011163513457193178,0.007053278386592865,-0.00045454376959241927,0.007053278386592865,0.00045454376959241927,0.0008441139943897724,0.003920643590390682,0.0008441139943897724,0
3003,1,1,3,0.006469999440014362,0.029999999329447746,-0.002621270716190338,-0.002621270716190338,0.002076923018894517,0.006469999440014362,0.029999999329447746,1,2,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.008058001322624084,0.004419264898872411,0.023529999889433384,-0.004698193735084856,0.023529999889433384,0.004698193735084856,0.004116897005587816,0.0034755864180624485,0.004116897005587816,0
3003,1,1,4,0.0036623363848775625,0.0,-0.0001804634666768834,-0.0001804634666768834,0.0,0.0036623363848775625,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0009933812024480618,0.0007304648989976862,0.0036623363848775625,-0.0001804634666768834,0.0036623363848775625,0.0001804634666768834,0.001812548958696425,0.003281180514022708,0.001812548958696425,0
3003,1,1,5,0.0183088481426239,0.017999999225139618,-6.777428552595666e-06,-6.777428552595666e-06,0.0,0.0183088481426239,0.017999999225139618,1,3,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0008753319815105053,0.0006980482907690243,0.00030884891748428345,-6.777428552595666e-06,0.00030884891748428345,6.777428552595666e-06,0.0012709901202470064,0.007899999618530273,0.0012709901202470064,0
3003,1,2,0,0.020623063668608665,0.018000000156462193,-0.001375875435769558,-0.001375875435769558,6.44761778689773e-11,0.020623063668608665,0.018000000156462193,1,3,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0017290595984969666,0.001414012351244159,0.002623063512146473,-0.0013758755002457358,0.002623063512146473,0.0013758755002457358,0.0019475131994113326,0.009622974321246147,0.0019475131994113326,0
3003,1,2,1,0.01167385932058096,0.0,-0.0006957653095014393,-0.0006957653095014393,0.0,0.01167385932058096,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.002810157409432981,0.001969170387415491,0.01167385932058096,-0.0006957653095014393,0.01167385932058096,0.0006957653095014393,0.001955605810508132,0.004052515607327223,0.001955605810508132,0
3003,1,2,3,0.019389359280467033,0.029999999329447746,-0.00727258063852787,-0.00727258063852787,-0.01349999962281436,0.019389359280467033,0.029999999329447746,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0025517171881337597,0.0018242158205110648,0.010610640048980713,0.006227418984286489,0.010610640048980713,0.006227418984286489,0.0036231616977602243,0.007554169744253159,0.0036231616977602243,0
3003,1,2,4,0.021549900993704796,0.018000000156462193,0.0004528334829956293,0.0004528334829956293,6.447617613425383e-11,0.021549900993704796,0.018000000156462193,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018582034738260694,0.0015160677645950627,0.0035499008372426033,0.0004528334185194532,0.0035499008372426033,0.0004528334185194532,0.0025376640260219574,0.008681904524564743,0.0025376640260219574,0
3003,1,2,5,0.0080180699005723,0.0,-0.000886471476405859,-0.000886471476405859,0.0,0.0080180699005723,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0021660525737036093,0.0016975067115041628,0.0080180699005723,-0.000886471476405859,0.0080180699005723,0.000886471476405859,0.0027202910277992487,0.002751115709543228,0.0027202910277992487,0
3003,2,0,1,0.006844755262136459,0.0,0.0010169600136578083,0.0010169600136578083,0.0,0.006844755262136459,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0016574717524102391,0.0012771933609564629,0.006844755262136459,0.0010169600136578083,0.006844755262136459,0.0010169600136578083,0.0037726527079939842,0.0034859050065279007,0.0037726527079939842,0
3003,2,0,2,0.017596568912267685,0.02399999904446304,-0.00040243365219794214,-0.00040243365219794214,-4.835713253437124e-11,0.017596568912267685,0.02399999904446304,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0015080089382495127,0.0010356274378326166,0.0064034301321953535,-0.0004024336038408096,0.0064034301321953535,0.0004024336038408096,0.0018015166278928518,0.007444082759320736,0.0018015166278928518,0
3003,2,0,3,0.017433026805520058,0.02999999839812517,-0.006672066170722246,-0.006672066170722246,-0.013499999381028692,0.017433026805520058,0.02999999839812517,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0027577485077091707,0.0018243051310394994,0.012566971592605114,0.0068279332103064454,0.012566971592605114,0.0068279332103064454,0.003651913022622466,0.00845983438193798,0.003651913022622466,0
3003,2,0,4,0.013782420195639133,0.018000000156462193,-0.00024924706667661667,-0.00024924706667661667,0.0016615387873580786,0.013782420195639133,0.018000000156462193,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013616198739977835,0.001136697817748115,0.004217579960823059,-0.0019107858540346953,0.004217579960823059,0.0019107858540346953,0.001769254682585597,0.008751416578888893,0.001769254682585597,0
3003,2,0,5,0.004788131453096867,0.0,0.0007427780074067414,0.0007427780074067414,1.734723475976807e-18,0.004788131453096867,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001228244193099036,0.0010000147895347436,0.004788131453096867,0.0007427780074067396,0.004788131453096867,0.0007427780074067396,0.0009333993657492101,0.0037767942994832993,0.0009333993657492101,0
3003,2,1,0,0.013730154372751713,0.0,-0.0006123410421423614,-0.0006123410421423614,0.0,0.013730154372751713,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.002965293287407717,0.00195939552601008,0.013730154372751713,-0.0006123410421423614,0.013730154372751713,0.0006123410421423614,0.0015078817959874868,0.007730327546596527,0.0015078817959874868,0
3003,2,1,2,0.015416700392961502,0.0,-0.0017419802024960518,-0.0017419802024960518,0.0,0.015416700392961502,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.003196075759996956,0.0018477470410117032,0.015416700392961502,-0.0017419802024960518,0.015416700392961502,0.0017419802024960518,0.00218749325722456,0.00894616823643446,0.00218749325722456,0
3003,2,1,3,0.016019562259316444,0.02999999769963324,-0.006400973070412874,-0.006400973070412874,0.002076922906061206,0.016019562259316444,0.02999999769963324,1,2,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.008410030730547155,0.005158814557513894,0.013980435440316796,-0.00847789597647408,0.013980435440316796,0.00847789597647408,0.004916006699204445,0.008209641091525555,0.004916006699204445,0
3003,2,1,4,0.01254630833864212,0.0,-0.0005805751425214112,-0.0005805751425214112,0.0,0.01254630833864212,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.002749476029193113,0.001878616862968933,0.01254630833864212,-0.0005805751425214112,0.01254630833864212,0.0005805751425214112,0.003014546586200595,0.006790135987102985,0.003014546586200595,0
3003,2,1,5,0.02470364421606064,0.017999999225139618,-0.0008501682314090431,-0.0008501682314090431,3.223808893448865e-11,0.02470364421606064,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001742742895763883,0.001295144138954161,0.0067036449909210205,-0.000850168263647132,0.0067036449909210205,0.000850168263647132,0.0006829688209109008,0.010320722125470638,0.0006829688209109008,0
3003,2,2,0,0.01730407029390335,0.018000000156462193,-0.0010139773366972804,-0.0010139773366972804,6.447617960370078e-11,0.01730407029390335,0.018000000156462193,1,3,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0015319240190904608,0.001267600117096975,0.0006959298625588417,-0.00101397740117346,0.0006959298625588417,0.00101397740117346,0.0016049663536250591,0.006813034415245056,0.0016049663536250591,0
3003,2,2,1,0.011275861412286758,0.0,0.001707102288492024,0.001707102288492024,0.0,0.011275861412286758,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.661538353333106,0.0027166226194373054,0.001728839279543719,0.011275861412286758,0.001707102288492024,0.011275861412286758,0.001707102288492024,0.0045931171625852585,0.0034797023981809616,0.0045931171625852585,0
3003,2,2,3,0.018901227042078972,0.02999999839812517,-0.0057299379259347916,-0.0057299379259347916,-0.013499999381028692,0.018901227042078972,0.02999999839812517,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0027028198540709563,0.0016495685276338423,0.0110987713560462,0.0077700614550939,0.0110987713560462,0.0077700614550939,0.001960150431841612,0.005560903809964657,0.001960150431841612,0
3003,2,2,4,0.01657026819884777,0.03899999801069498,-0.0018375605577602983,-0.0018375605577602983,0.0037384617396272104,0.01657026819884777,0.03899999801069498,1,5,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.007941032936976183,0.004308148711567094,0.02242972981184721,-0.005576022297387509,0.02242972981184721,0.005576022297387509,0.003974699415266514,0.006372618488967419,0.003974699415266514,0
3003,2,2,5,0.00833358708769083,0.0,-0.0006640301435254514,-0.0006640301435254514,1.734723475976807e-18,0.00833358708769083,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0021226423055719264,0.001365471311663029,0.00833358708769083,-0.0006640301435254532,0.00833358708769083,0.0006640301435254532,0.001812185626477003,0.003960199188441038,0.001812185626477003,0
3003,3,0,1,0.010702164843678474,0.0,0.0011487737065181136,0.0011487737065181136,0.0,0.010702164843678474,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0022790555470453265,0.0013573459603068742,0.010702164843678474,0.0011487737065181136,0.010702164843678474,0.0011487737065181136,0.002135486574843526,0.004474559798836708,0.002135486574843526,0
3003,3,0,2,0.020410357043147087,0.024000000208616257,-0.0012788190506398678,-0.0012788190506398678,-0.0016615385616914563,0.020410357043147087,0.024000000208616257,1,4,0.007692307233810425,0.20944694064039504,13,1.6615383533331063,0.0012797134028389105,0.0008744878374789595,0.0035896431654691696,0.00038271951105158853,0.0035896431654691696,0.00038271951105158853,0.002315034158527851,0.006439772434532642,0.002315034158527851,0
3003,3,0,3,0.019810810685157776,0.029999998630955815,-0.007400044705718756,-0.007400044705718756,-0.013499999751766715,0.019810810685157776,0.029999998630955815,1,3,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.002304272617795324,0.0014481452326758728,0.01018918794579804,0.0060999550460479595,0.01018918794579804,0.0060999550460479595,0.0034008841030299664,0.006580736953765154,0.0034008841030299664,0
3003,3,0,4,0.016877584159374237,0.038999998942017555,-0.0006308691808953881,-0.0006308691808953881,0.002076923016745308,0.016877584159374237,0.038999998942017555,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.008175387951491447,0.00432294557014337,0.022122414782643318,-0.002707792197640696,0.022122414782643318,0.002707792197640696,0.0013282510917633772,0.005621866323053837,0.0013282510917633772,0
3003,3,0,5,0.006956673227250576,0.0,0.00010283628944307566,0.00010283628944307566,0.0,0.006956673227250576,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0015935631546673144,0.0010089872524792537,0.006956673227250576,0.00010283628944307566,0.006956673227250576,0.00010283628944307566,0.001854087458923459,0.00432708952575922,0.001854087458923459,0
3003,3,1,0,0.009477687999606133,0.0,6.422970909625292e-05,6.422970909625292e-05,0.0,0.009477687999606133,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0022833384660896116,0.0015410144383517595,0.009477687999606133,6.422970909625292e-05,0.009477687999606133,6.422970909625292e-05,0.0007457082392647862,0.004360723774880171,0.0007457082392647862,0
3003,3,1,2,0.0118017653003335,0.0,-0.0008003268740139902,-0.0008003268740139902,0.0,0.0118017653003335,0.0,0,1,0.007692307233810425,0.20944694064039504,13,1.6615383533331063,0.00263251645093872,0.00158205894290431,0.0118017653003335,-0.0008003268740139902,0.0118017653003335,0.0008003268740139902,0.0018653804436326027,0.006983024999499321,0.0018653804436326027,0
3003,3,1,3,0.011979348957538605,0.0,-0.004215578082948923,-0.004215578082948923,0.0,0.011979348957538605,0.0,0,1,0.007692308165132999,0.2094469155167731,13,1.661538461366525,0.0025943178208162544,0.0016923474489584475,0.011979348957538605,-0.004215578082948923,0.011979348957538605,0.004215578082948923,0.002465076744556427,0.004501584451645613,0.002465076744556427,0
3003,3,1,4,0.009351944550871849,0.0,-0.0008776176837272942,-0.0008776176837272942,0.0,0.009351944550871849,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.002250380826089096,0.0015450028382991193,0.009351944550871849,-0.0008776176837272942,0.009351944550871849,0.0008776176837272942,0.001518968609161675,0.004425466060638428,0.001518968609161675,0
3003,3,1,5,0.020687364041805267,0.017999999225139618,-0.00018110805831383914,-0.00018110805831383914,0.0,0.020687364041805267,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0014084585907026535,0.0011270673419955081,0.0026873648166656494,-0.00018110805831383914,0.0026873648166656494,0.00018110805831383914,0.002505094977095723,0.006564937066286802,0.002505094977095723,0
