seed,state_idx,ego_id,top_k,oracle_core_f1,oracle_core_f1_random_baseline,oracle_core_f1_adjusted,dr_applied,dr_applied_rows,dr_clipped_rows,dr_raw_inverse_max,dr_correction_mean,replay_consistency_abs_error,bias,variance,mae,rmse,rank_correlation,p_value,constant_case,signed_bias,signed_mae,signed_rmse,signed_spearman,signed_p_value,signed_constant_case,sign_agreement,direction_row_aipw_signed_bias,direction_row_aipw_signed_mae,direction_row_aipw_signed_rmse,direction_row_aipw_signed_spearman,direction_row_aipw_signed_p_value,direction_row_aipw_signed_constant_case,direction_row_aipw_sign_agreement,q_mae,q_rmse,q_spearman,q_constant_case,q_centered_mae,q_centered_rmse,q_within_state_action_spearman,q_within_state_action_spearman_sum,q_nonconstant_surface_count,q_raw_mae,q_raw_rmse,q_centered_sq_error_sum,q_centered_oracle_sq_sum,q_centered_value_count,capacity_active_count,capacity_null_count,capacity_active_mae,capacity_active_spearman,capacity_null_fpr,direction_active_count,direction_null_count,direction_active_mae,direction_active_spearman,direction_null_fpr,direction_active_sign_agreement,capacity_rank_correlation,capacity_mae,capacity_bias,direction_spearman,direction_mae,direction_bias,direction_sign_agreement,range_bias,range_variance,range_mae,range_rmse,range_rank_correlation,range_p_value,range_constant_case
3001,0,0,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.014969870448112488,0.00011466515570646152,0.0162002295255661,0.01840549148619175,0.3354101966249684,0.5810906728217107,0,0.005921513773500919,0.005921513773500919,0.006449455861002207,0.0,1.0,1,0.0,0.005921513773500919,0.005921513773500919,0.006449455861002207,0.0,1.0,1,0.0,0.005974174141277664,0.007273877557822962,0.016443785992129853,0,0.005974174141277664,0.007273877557822962,0.0,0.0,2,0.01243894668833281,0.014405155499855767,0.0034391041572030346,0.000521999930843714,65,2,3,0.006727180909365416,0.9999999999999999,1.0,0,5,nan,nan,0.6,nan,0.3354101966249684,0.0162002295255661,0.014969870448112488,0.0,0.005921513773500919,0.005921513773500919,0.0,0.014969870448112488,0.00011466515570646152,0.0162002295255661,0.01840549148619175,0.3354101966249684,0.5810906728217107,0
3001,0,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.007604414131492376,0.0001068239362211898,0.012010829523205757,0.012831642292439938,0.6324555320336759,0.25221549635550466,0,-0.00035205105086788535,0.004965036176145077,0.0056811231188476086,-0.7071067811865475,0.18169011381620942,0,0.0,-0.00035205105086788535,0.004965036176145077,0.0056811231188476086,-0.7071067811865475,0.18169011381620942,0,0.0,0.004965367243685842,0.006557983743984019,0.16596934822254195,0,0.004965367243685842,0.006557983743984019,0.32371105391362415,0.9711331617408725,3,0.014168773544952273,0.015192732094574299,0.0027954648011133125,0.0009747691961343476,65,3,2,0.00854939284423987,-0.8660254037844387,1.0,0,5,nan,nan,0.2,nan,0.6324555320336759,0.012010829523205757,0.007604414131492376,-0.7071067811865475,0.004965036176145077,-0.00035205105086788535,0.0,0.007604414131492376,0.0001068239362211898,0.012010829523205757,0.012831642292439938,0.6324555320336759,0.25221549635550466,0
3001,0,2,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.00470901932567358,0.0003370978811290115,0.0181883554905653,0.01895449124276638,0.44721359549995787,0.45018485575210104,0,0.001344546559266746,0.003387866076081991,0.004840752575546503,-0.7826237921249264,0.11761376087345812,0,1.0,0.001344546559266746,0.003387866076081991,0.004840752575546503,-0.7826237921249264,0.11761376087345812,0,1.0,0.005461656006250101,0.007258119540242398,0.0751177927426731,0,0.005461656006250101,0.007258119540242398,0.1681910755026098,0.3363821510052196,2,0.006572823667262967,0.008300812087879783,0.0034242194519291543,0.001730769185635907,65,2,3,0.016849168576300144,-0.9999999999999999,1.0,1,4,0.010268672651253068,nan,0.0,1.0,0.44721359549995787,0.0181883554905653,0.00470901932567358,-0.7826237921249264,0.003387866076081991,0.001344546559266746,1.0,0.00470901932567358,0.0003370978811290115,0.0181883554905653,0.01895449124276638,0.44721359549995787,0.45018485575210104,0
3001,1,0,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.017920007929205894,0.0001347671204712242,0.017920007929205894,0.02135167084634304,0.11180339887498947,0.8579446176050994,0,0.0042228917591273785,0.006009184755384922,0.006127867382019758,0.0,1.0,1,0.0,0.0042228917591273785,0.006009184755384922,0.006127867382019758,0.0,1.0,1,0.0,0.006593891874867762,0.008098170212832443,-0.03987129422998466,0,0.006593891874867762,0.008098170212832443,-0.05241424183609592,-0.10482848367219184,2,0.013846554552079537,0.016020831474989495,0.004262723451740432,0.0005220000593662288,65,2,3,0.005071907304227352,0.9999999999999999,1.0,0,5,nan,nan,0.8,nan,0.11180339887498947,0.017920007929205894,0.017920007929205894,0.0,0.006009184755384922,0.0042228917591273785,0.0,0.017920007929205894,0.0001347671204712242,0.017920007929205894,0.02135167084634304,0.11180339887498947,0.8579446176050994,0
3001,1,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.01403693575412035,8.640303713036701e-05,0.01403693575412035,0.016835635527968407,-0.8660254037844386,0.05766888562243736,0,-0.001702165580354631,0.003722280263900757,0.003926544450223446,0.0,1.0,1,0.0,-0.001702165580354631,0.003722280263900757,0.003926544450223446,0.0,1.0,1,0.0,0.0049626054872549275,0.005848377527798315,0.11853848961805144,0,0.0049626054872549275,0.005848377527798315,0.2620712091804796,0.5241424183609592,2,0.0077608959744863495,0.009189403604722663,0.002223228780997661,0.00014400000250339525,65,2,3,0.002840838860720396,0.0,1.0,0,5,nan,nan,0.2,nan,-0.8660254037844386,0.01403693575412035,0.01403693575412035,0.0,0.003722280263900757,-0.001702165580354631,0.0,0.01403693575412035,8.640303713036701e-05,0.01403693575412035,0.016835635527968407,-0.8660254037844386,0.05766888562243736,0
3001,1,2,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0009843495208770037,0.00022850921959616244,0.014930804260075092,0.015148536302149296,0.15389675281277312,0.8048288166080632,0,0.002624010667204857,0.005788824055343866,0.007342726457864046,0.44721359549995787,0.45018485575210104,0,0.5,0.002624010667204857,0.005788824055343866,0.007342726457864046,0.44721359549995787,0.45018485575210104,0,0.5,0.004797280761936801,0.006302757095374636,0.17884961821936446,0,0.004797280761936801,0.006302757095374636,0.26011162548301575,0.7803348764490472,3,0.008282825332795396,0.010764580786820676,0.002582108555214196,0.0017307691297565545,65,3,2,0.013262628267208735,0.0,1.0,1,4,0.014730961679695892,nan,0.25,0.0,0.15389675281277312,0.014930804260075092,-0.0009843495208770037,0.44721359549995787,0.005788824055343866,0.002624010667204857,0.5,-0.0009843495208770037,0.00022850921959616244,0.014930804260075092,0.015148536302149296,0.15389675281277312,0.8048288166080632,0
3001,2,0,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.034611012786626816,0.00011942652054131031,0.034611012786626816,0.03629529848694801,0.7826237921249264,0.11761376087345812,0,-0.0012064790353178978,0.009051449596881866,0.011374086141586304,0.0,1.0,1,0.0,-0.0012064790353178978,0.009051449596881866,0.011374086141586304,0.0,1.0,1,0.0,0.010982136807498141,0.013090206091429595,0.2635702397518986,0,0.010982136807498141,0.013090206091429595,0.36689969285267143,0.7337993857053429,2,0.12441681609130822,0.12515786680468044,0.011137977208546533,0.0005219999699592748,65,2,3,0.02491692453622818,-0.9999999999999999,1.0,0,5,nan,nan,0.4,nan,0.7826237921249264,0.034611012786626816,0.034611012786626816,0.0,0.009051449596881866,-0.0012064790353178978,0.0,0.034611012786626816,0.00011942652054131031,0.034611012786626816,0.03629529848694801,0.7826237921249264,0.11761376087345812,0
3001,2,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.018401362001895905,0.00019023593631573021,0.021478373557329178,0.022996652871370316,0.22360679774997894,0.7176856442107861,0,-0.0014498138334602118,0.0023437945637851954,0.002734236419200897,0.8207826816681233,0.08858700531354384,0,1.0,-0.0014498138334602118,0.0023437945637851954,0.002734236419200897,0.8207826816681233,0.08858700531354384,0,1.0,0.00643569254264726,0.008933336118737409,0.13084591235498264,0,0.00643569254264726,0.008933336118737409,0.38919600133353593,0.7783920026670719,2,0.020107391525659924,0.02133828204796249,0.005187292123671993,0.002636307500007066,65,2,3,0.012124725501053035,-0.9999999999999999,1.0,1,4,0.004634639840573076,nan,0.0,1.0,0.22360679774997894,0.021478373557329178,0.018401362001895905,0.8207826816681233,0.0023437945637851954,-0.0014498138334602118,1.0,0.018401362001895905,0.00019023593631573021,0.021478373557329178,0.022996652871370316,0.22360679774997894,0.7176856442107861,0
3001,2,2,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.012254608795046806,0.0005612762179225683,0.024839309975504875,0.026673050597310066,-0.8944271909999157,0.04051932635383408,0,0.00014594961248803884,0.0024353431072086096,0.0028938681352883577,0.6708203932499368,0.21516994256955022,0,1.0,0.00014594961248803884,0.0024353431072086096,0.0028938681352883577,0.6708203932499368,0.21516994256955022,0,1.0,0.006755499664856639,0.00846314374122211,0.20384871949108957,0,0.006755499664856639,0.00846314374122211,0.5110128642933587,1.0220257285867174,2,0.009204587491918714,0.011551492661392078,0.004655612128998153,0.001730769153397818,65,2,3,0.0157308760099113,-0.9999999999999999,1.0,1,4,0.0020184918384855786,nan,0.25,1.0,-0.8944271909999157,0.024839309975504875,0.012254608795046806,0.6708203932499368,0.0024353431072086096,0.00014594961248803884,1.0,0.012254608795046806,0.0005612762179225683,0.024839309975504875,0.026673050597310066,-0.8944271909999157,0.04051932635383408,0
3001,3,0,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.01839052140712738,0.0001477452169638127,0.018468666821718216,0.02204442024230957,-0.11180339887498947,0.8579446176050994,0,0.005594542715698481,0.005891403649002314,0.006676051765680313,0.0,1.0,1,0.0,0.005594542715698481,0.005891403649002314,0.006676051765680313,0.0,1.0,1,0.0,0.006653284952705781,0.008229880746544236,-0.06872552031747356,0,0.006653284952705781,0.008229880746544236,-0.10482848367219184,-0.2096569673443837,2,0.008189511800614687,0.01078301559911063,0.004402510911652068,0.0005220000593662288,65,2,3,0.004165930673480034,0.9999999999999999,1.0,0,5,nan,nan,0.8,nan,-0.11180339887498947,0.018468666821718216,0.01839052140712738,0.0,0.005891403649002314,0.005594542715698481,0.0,0.01839052140712738,0.0001477452169638127,0.018468666821718216,0.02204442024230957,-0.11180339887498947,0.8579446176050994,0
