seed,state_idx,ego_id,neighbor_id,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation
3002,0,0,1,0.007145735900849104,0.0,-0.0014691544929519296,-0.0014691544929519296,0.0,0.007145735900849104,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001827521689076942,0.0012397867912969404,0.007145735900849104,-0.0014691544929519296,0.007145735900849104,0.0014691544929519296,0.0009016572730615735,0.0008756067254580557,0.0009016572730615735,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.006117198616266251,0.0025443306076340377,0.003572868008632213,0.003572868008632213,inf,inf,0,0
3002,0,0,2,0.00752649549394846,0.0,-0.001181715982966125,-0.001181715982966125,0.0,0.00752649549394846,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0017945093080347287,0.0012576960758430079,0.00752649549394846,-0.001181715982966125,0.00752649549394846,0.001181715982966125,0.0008190837106667459,0.0014711508993059397,0.0008190837106667459,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.005908224731683731,0.0021449769265018404,0.0037632478051818907,0.0037632478051818907,inf,inf,0,0
3002,0,0,3,0.006470289081335068,0.0,0.0005824397667311132,0.0005824397667311132,0.0,0.006470289081335068,0.0,0,1,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0016146412505605061,0.0011394389336046998,0.006470289081335068,0.0005824397667311132,0.006470289081335068,0.0005824397667311132,0.0018405825830996037,0.001524719875305891,0.0018405825830996037,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004625329282134771,0.0013901847996748984,0.003235144482459873,0.003235144482459873,inf,inf,0,0
3002,0,0,4,0.007797937374562025,0.0,-0.0018904501339420676,-0.0018904501339420676,0.0,0.007797937374562025,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018628009871151632,0.0012066874276989927,0.007797937374562025,-0.0018904501339420676,0.007797937374562025,0.0018904501339420676,0.0007883136277087033,0.0018718753708526492,0.0007883136277087033,0,0,0,10,4,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0063714231364429,0.002472454449161887,0.0038989686872810125,0.0038989686872810125,inf,inf,0,0
3002,0,0,5,0.015274658799171448,0.024000000208616257,-0.0005333676817826927,-0.0005333676817826927,0.0,0.015274658799171448,0.024000000208616257,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0020648129832825848,0.0013044167495084326,0.008725341409444809,-0.0005333676817826927,0.008725341409444809,0.0005333676817826927,0.0008373278542421758,0.0038426341488957405,0.0008373278542421758,0,10,11,10,11,1,1,1,1,1,1,0.012000000104308128,0.012000000104308128,0.012000000104308128,0,0.006387480068951845,0.0020248095970600843,0.004362670471891761,0.004362670471891761,0.363555869497494,0.5322900011191393,1,0
3002,0,1,0,0.008613754995167255,0.0,-0.0010316119296476245,-0.0010316119296476245,0.0,0.008613754995167255,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001855997749262408,0.00130849742170798,0.008613754995167255,-0.0010316119296476245,0.008613754995167255,0.0010316119296476245,0.001203959691338241,0.0031894769053906202,0.001203959691338241,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.005427364259958267,-0.0011204867623746395,0.004306877497583628,0.004306877497583628,inf,inf,0,0
3002,0,1,2,0.017414318397641182,0.017999999225139618,0.0005653456901200116,0.0005653456901200116,0.0,0.017414318397641182,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.000677699359809765,0.0005565093645616573,0.000585680827498436,0.0005653456901200116,0.000585680827498436,0.0005653456901200116,0.001986581599339843,0.006007499992847443,0.001986581599339843,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.0028316322714090347,-0.0016287430189549923,0.0012028892524540424,0.0012028892524540424,0.13365436713730883,0.3146258214782863,1,0
3002,0,1,3,0.014665432274341583,0.012000000104308128,-0.006594695150852203,-0.006594695150852203,-0.005400000016763807,0.014665432274341583,0.012000000104308128,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0007497651611860614,0.0006232306074637633,0.002665432170033455,-0.0011946951340883966,0.002665432170033455,0.0011946951340883966,0.0018460140563547611,0.006089858245104551,0.0018460140563547611,0,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.003658946603536606,-0.002326230751350522,0.0013327158521860838,0.0013327158521860838,0.2221193067669432,0.609824428621964,1,0
3002,0,1,4,0.016267450526356697,0.017999999225139618,-0.0006428246269933879,-0.0006428246269933879,0.0,0.016267450526356697,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0007035920470993043,0.000566226781894227,0.0017325486987829208,-0.0006428246269933879,0.0017325486987829208,0.0006428246269933879,0.001842393889091909,0.006545890588313341,0.001842393889091909,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.0034702786651905626,-0.0022439187596319243,0.0012263599055586383,0.0012263599055586383,0.13626221759452614,0.3855865349531586,1,0
3002,0,1,5,0.005941212177276611,0.0,0.0009307015570811927,0.0009307015570811927,8.673617379884035e-19,0.005941212177276611,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0014128376202581809,0.0011189944088767618,0.005941212177276611,0.0009307015570811919,0.005941212177276611,0.0009307015570811919,0.0023133682552725077,0.0031544535886496305,0.0023133682552725077,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0037768594920635223,-0.0008062535198405385,0.002970605972222984,0.002970605972222984,inf,inf,0,0
