seed,state_idx,ego_id,neighbor_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,learned_q_range,oracle_q_range_from_surface,capacity_head_q_range_consistency_abs,capacity_q_error_bound,capacity_q_error_bound_violation,direction_head_q_consistency_abs,oracle_direction_q_consistency_abs,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation,learned_direction_from_q,oracle_direction_from_q,direction_weight_l1,direction_q_error_bound,direction_sign_margin,lambda_D,direction_sign_match_from_q,direction_sign_certified,direction_sign_violation,oracle_capacity_rank,learned_capacity_rank,oracle_capacity_topk_member,learned_capacity_topk_member,oracle_capacity_margin_to_topk_boundary
5006,0,0,1,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.006846105679869652,0.0,0.0017913245828822255,0.0017913245828822255,-1.734723475976807e-18,0.006846105679869652,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0017068674353063165,0.001202837470367815,0.006846105679869652,0.0017913245828822272,0.006846105679869652,0.0017913245828822272,0.002638957928866148,0.0020812777802348137,0.002638957928866148,0,0.006846105679869652,0.0,0.0,0.006846105679869652,0,6.011040987879968e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0037979958578944206,-0.0003749430179595947,0.003423052839934826,0.003423052839934826,inf,inf,0,0,0.0017913239817781267,-1.734723475976807e-18,1.6615384505345263,0.0056875339117631206,1.734723475976807e-18,inf,0,0,0,5,5,0,0,0.03899999801069498
5006,0,0,2,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.015432873740792274,0.023999999277293682,0.001413624151609838,0.001413624151609838,-6.44761778689773e-11,0.015432873740792274,0.023999999277293682,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0019187328627008836,0.001303677507758846,0.008567125536501408,0.0014136242160860159,0.008567125536501408,0.0014136242160860159,0.0025206056889146566,0.0037905045319348574,0.0025206056889146566,0,0.015432873740792274,0.023999999277293682,0.0,0.008567125536501408,0,1.8773802165639175e-09,1.734723475976807e-18,10,11,10,11,1,1,1,1,1,1,0.012000000104308128,0.011999999172985554,0.011999999172985554,0,0.004966678097844124,0.00068311532959342,0.004283562768250704,0.004283562768250704,0.35696358862206234,0.4138898700114188,1,0,0.0014136222742296214,-6.447617960370078e-11,1.6615384505345263,0.0071173042447266605,6.447617960370078e-11,110386568.93868048,0,0,0,3,3,0,0,0.014999998733401299
5006,0,0,3,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.01590450294315815,0.029999999329447746,-0.007651953492313623,-0.007651953492313623,-0.01349999962281436,0.01590450294315815,0.029999999329447746,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0028820576455515444,0.001634743155569896,0.014095496386289597,0.005848046130500736,0.014095496386289597,0.005848046130500736,0.0020376474130898714,0.004748609848320484,0.0020376474130898714,0,0.015904502710327506,0.029999999329447746,2.3283064365386963e-10,0.01409549661912024,0,3.293194146200551e-10,1.734723475976807e-18,10,11,10,11,1,1,1,1,1,1,0.014999999664723873,0.014999999664723873,0.014999999664723873,0,0.011729655088856816,-0.004681906779296696,0.00704774830956012,0.00704774830956012,0.4698498978059716,0.7819770234023362,1,0,-0.007651953162994209,-0.013499999622814358,1.6615384522538923,0.011710104818141508,0.013499999622814358,0.8674151959494864,1,1,0,2,2,0,0,0.008999998681247234
5006,0,0,4,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.01602453738451004,0.03899999801069498,0.00024498222046531737,0.00024498222046531737,0.018692306570422177,0.01602453738451004,0.03899999801069498,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.013583916968448484,0.01250434836604186,0.02297546062618494,-0.01844732434995686,0.02297546062618494,0.01844732434995686,0.002347612055018544,0.003427778836339712,0.002347612055018544,0,0.016024536918848753,0.03899999801069498,4.656612873077393e-10,0.03204593434929848,0,3.364297278263262e-10,3.469446951953614e-18,1,11,10,11,4,1,0,0,1,0,0.0,0.008999999612569809,0.0,1,0.031743007712066174,0.015720040537416935,0.01602296717464924,0.01602296717464924,inf,inf,0,0,0.0002449825568950452,0.01869230657042218,1.6615384505345263,0.02662277605233227,0.01869230657042218,1.4242638249074562,1,0,0,1,1,1,1,0.008999998681247234
5006,0,0,5,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.013803641311824322,0.012000000104308128,-0.0006035533733665943,-0.0006035533733665943,0.0,0.013803641311824322,0.012000000104308128,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013041294453763354,0.0011156384651301175,0.0018036412075161934,-0.0006035533733665943,0.0018036412075161934,0.0006035533733665943,0.003182843327522278,0.004215345252305269,0.003182843327522278,0,0.013803641311824322,0.012000000104308128,0.0,0.004749816842377186,0,5.189762647406226e-10,8.673617379884035e-19,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.0025974344462156296,-0.00022252602502703667,0.002374908421188593,0.002374908421188593,0.395818066757512,0.43290573727297266,1,0,-0.0006035538923428591,-8.673617379884035e-19,1.6615384505345263,0.003946001658303093,8.673617379884035e-19,inf,0,0,0,4,4,0,0,0.026999997906386852
5006,0,1,0,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.005656431429088116,0.0,0.000696566712576896,0.000696566712576896,0.0,0.005656431429088116,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013344094344019792,0.0009556514131995405,0.005656431429088116,0.000696566712576896,0.005656431429088116,0.000696566712576896,0.0014072794001549482,0.0031470905523747206,0.0014072794001549482,0,0.005656431273848739,0.0,1.552393769088667e-10,0.005656431273848739,0,1.846078642600904e-10,0.0,0,0,2,10,13,13,0,1,1,1,0.0,0.0,0.0,1,0.005657233763486147,-0.0028290181265617775,0.0028282156369243694,0.0028282156369243694,inf,inf,0,0,0.0006965665279690317,0.0,1.6615384505345263,0.004699189027152835,0.0,inf,0,0,0,1,2,1,0,0.0
5006,0,1,2,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.00506728608161211,0.0,0.001101903268136084,0.001101903268136084,0.0,0.00506728608161211,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.00122197266423442,0.0009200596946330201,0.00506728608161211,0.001101903268136084,0.00506728608161211,0.001101903268136084,0.0014823974343016744,0.002447699662297964,0.0014823974343016744,0,0.005067285936092958,0.0,1.4551915228366852e-10,0.005067285936092958,0,1.5769871216167464e-10,0.0,0,0,2,10,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004696131218224764,-0.002162488250178285,0.002533642968046479,0.002533642968046479,inf,inf,0,0,0.0011019034258347962,0.0,1.6615384505345263,0.004209745211335645,0.0,inf,0,0,0,2,4,0,0,0.0
5006,0,1,3,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.005680270493030548,0.0,-0.001113596255891025,-0.001113596255891025,0.0,0.005680270493030548,0.0,0,1,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0013962315139137943,0.001045290003604302,0.005680270493030548,-0.001113596255891025,0.005680270493030548,0.001113596255891025,0.002276491606608033,0.0033647676464170218,0.002276491606608033,0,0.005680270493030548,0.0,0.0,0.005680270493030548,0,3.272190398414393e-10,0.0,0,0,2,10,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004185503348708153,-0.0013453681021928787,0.002840135246515274,0.002840135246515274,inf,inf,0,0,-0.001113596583110065,0.0,1.6615384522538923,0.004718993921686715,0.0,inf,0,0,0,3,1,0,1,0.0
5006,0,1,4,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.0055888197384774685,0.0,0.000720925338100642,0.000720925338100642,0.0,0.0055888197384774685,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013292449874894607,0.0009490286069646611,0.0055888197384774685,0.000720925338100642,0.0055888197384774685,0.000720925338100642,0.0014331627171486616,0.0030682224314659834,0.0014331627171486616,0,0.005588819898548536,0.0,1.6007106751203537e-10,0.005588819898548536,0,1.793631948694696e-10,0.0,0,0,2,10,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0054387967102229595,-0.0026443867609486915,0.002794409949274268,0.002794409949274268,inf,inf,0,0,0.0007209255174638368,0.0,1.6615384505345263,0.004643019577275431,0.0,inf,0,0,0,4,3,0,0,0.0
5006,0,1,5,0,49448bdce918c9b9121206ad7f63d121b7bc43e088ea46e07b33a927613ef693,ea75269e07894827e3d9046ad93456d9560252b85ef2660147e7144046bb4e59,0.0047114696353673935,0.0,0.0011815655743703246,0.0011815655743703246,0.0,0.0047114696353673935,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012436199863993102,0.001009133279312556,0.0047114696353673935,0.0011815655743703246,0.0047114696353673935,0.0011815655743703246,0.002397739328444004,0.0033516178373247385,0.002397739328444004,0,0.004711469809990376,0.0,1.7462298274040222e-10,0.004711469809990376,0,1.5849349090102383e-10,0.0,0,0,2,10,13,13,0,1,1,1,0.0,0.0,0.0,1,0.004211888648569584,-0.0018561537435743958,0.002355734904995188,0.002355734904995188,inf,inf,0,0,0.0011815654158768337,0.0,1.6615384505345263,0.003914144123915804,0.0,inf,0,0,0,5,5,0,0,0.0
