seed,state_idx,ego_id,top_k,oracle_core_f1,oracle_core_f1_random_baseline,oracle_core_f1_adjusted,dr_applied,dr_applied_rows,dr_clipped_rows,dr_raw_inverse_max,dr_correction_mean,replay_consistency_abs_error,bias,variance,mae,rmse,rank_correlation,p_value,constant_case,signed_bias,signed_mae,signed_rmse,signed_spearman,signed_p_value,signed_constant_case,sign_agreement,direction_row_aipw_signed_bias,direction_row_aipw_signed_mae,direction_row_aipw_signed_rmse,direction_row_aipw_signed_spearman,direction_row_aipw_signed_p_value,direction_row_aipw_signed_constant_case,direction_row_aipw_sign_agreement,direction_crossfit_aipw_signed_bias,direction_crossfit_aipw_signed_mae,direction_crossfit_aipw_signed_rmse,direction_crossfit_aipw_signed_spearman,direction_crossfit_aipw_signed_p_value,direction_crossfit_aipw_signed_constant_case,direction_crossfit_aipw_sign_agreement,q_mae,q_rmse,q_spearman,q_constant_case,q_centered_mae,q_centered_rmse,q_within_state_action_spearman,q_within_state_action_spearman_sum,q_nonconstant_surface_count,q_raw_mae,q_raw_rmse,q_centered_sq_error_sum,q_centered_oracle_sq_sum,q_centered_value_count,capacity_active_count,capacity_null_count,capacity_active_mae,capacity_active_spearman,capacity_null_fpr,direction_active_count,direction_null_count,direction_active_mae,direction_active_spearman,direction_null_fpr,direction_active_sign_agreement,capacity_rank_correlation,capacity_mae,capacity_bias,direction_spearman,direction_mae,direction_bias,direction_sign_agreement,range_bias,range_variance,range_mae,range_rmse,range_rank_correlation,range_p_value,range_constant_case
3005,0,0,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.009506682865321636,0.00010548708087299019,0.011213560588657856,0.013995145447552204,0.5270462766947299,0.3614548502018726,0,0.004667821805924177,0.005421722307801247,0.01075750682502985,-0.20519567041703082,0.7405819415910723,0,1.0,0.004667821805924177,0.005421722307801247,0.01075750682502985,-0.20519567041703082,0.7405819415910723,0,1.0,0.006687328219413757,0.007275096140801907,0.012711038812994957,-0.35909242322980395,0.5528147466433508,0,0.0,0.0018801862101164267,0.004036491924869783,0.369437561306235,0,0.0018801862101164267,0.004036491924869783,0.6426433427217654,2.5705733708870615,4,0.019693483928075205,0.020732911644702163,0.0010590623588700328,0.00187476911119774,65,4,1,0.012950152857229114,0.0,0.0,1,4,0.023995343001738462,nan,0.0,1.0,0.5270462766947299,0.011213560588657856,-0.009506682865321636,-0.20519567041703082,0.005421722307801247,0.004667821805924177,1.0,-0.009506682865321636,0.00010548708087299019,0.011213560588657856,0.013995145447552204,0.5270462766947299,0.3614548502018726,0
3005,0,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.00861875806003809,0.0001183565691462718,0.009930390864610672,0.013879464939236641,0.8720815992723809,0.05385421772754213,0,0.004210046026855707,0.005600322037935257,0.010998159646987915,-0.8720815992723809,0.05385421772754213,0,1.0,0.004210046026855707,0.005600322037935257,0.010998159646987915,-0.8720815992723809,0.05385421772754213,0,1.0,0.005718683358281851,0.006732413079589605,0.011446205899119377,-0.051298917604257706,0.934712848108234,0,0.0,0.0017546665948435399,0.004016635238357482,0.3432017167225086,0,0.0017546665948435399,0.004016635238357482,0.6305678146752451,2.5222712587009806,4,0.021658007862368742,0.022912166582526008,0.0010486683114709796,0.002252769089829475,65,4,1,0.011593219358474016,0.7378647873726218,0.0,1,4,0.024525919131415237,nan,0.0,1.0,0.8720815992723809,0.009930390864610672,-0.00861875806003809,-0.8720815992723809,0.005600322037935257,0.004210046026855707,1.0,-0.00861875806003809,0.0001183565691462718,0.009930390864610672,0.013879464939236641,0.8720815992723809,0.05385421772754213,0
3005,0,2,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.00261007621884346,4.536159181611765e-08,0.00261007621884346,0.002618751721456647,0.0,1.0,1,0.00013215960643719882,0.0005265938816592097,0.0005799391074106097,0.0,1.0,1,0.0,0.00013215960643719882,0.0005265938816592097,0.0005799391074106097,0.0,1.0,1,0.0,8.604945469414815e-05,0.0011178661370649934,0.0013658447423949838,0.0,1.0,1,0.0,0.0006941739450602649,0.0007956087496465904,0.0,1,0.0006941739450602649,0.0007956087496465904,nan,0.0,0,0.0006961916037898146,0.000841445955875091,4.114456336342372e-05,0.0,65,0,5,nan,nan,0.0,0,5,nan,nan,0.0,nan,0.0,0.00261007621884346,0.00261007621884346,0.0,0.0005265938816592097,0.00013215960643719882,0.0,0.00261007621884346,4.536159181611765e-08,0.00261007621884346,0.002618751721456647,0.0,1.0,1
3005,1,0,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.006079060025513172,8.825479017104954e-05,0.008148499764502048,0.01118971686810255,0.5270462766947299,0.3614548502018726,0,-0.0002860416716430336,0.00048511987552046776,0.000618934107478708,0.7071067811865475,0.18169011381620942,0,1.0,-0.0002860416716430336,0.00048511987552046776,0.000618934107478708,0.7071067811865475,0.18169011381620942,0,1.0,0.006971974857151508,0.006971974857151508,0.007322897668927908,-0.35355339059327373,0.5594043441634877,0,1.0,0.0016610781027737054,0.003957617630447643,0.4000250340427027,0,0.0016610781027737054,0.003957617630447643,0.5822657024891641,2.3290628099566564,4,0.0061498863618068686,0.0067441574712933244,0.001018077925073951,0.0018747691111977308,65,4,1,0.008892224868759513,0.0,0.0,0,5,nan,nan,0.0,nan,0.5270462766947299,0.008148499764502048,-0.006079060025513172,0.7071067811865475,0.00048511987552046776,-0.0002860416716430336,1.0,-0.006079060025513172,8.825479017104954e-05,0.008148499764502048,0.01118971686810255,0.5270462766947299,0.3614548502018726,0
3005,1,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.006983923725783825,0.00011935896327486262,0.009075118228793144,0.012966655194759369,0.8720815992723809,0.05385421772754213,0,-0.0010481053031980991,0.0011278216261416674,0.0012636433821171522,0.35355339059327373,0.5594043441634877,0,1.0,-0.0010481053031980991,0.0011278216261416674,0.0012636433821171522,0.35355339059327373,0.5594043441634877,0,1.0,0.0036557777784764767,0.0036557777784764767,0.004190185572952032,-0.35355339059327373,0.5594043441634877,0,1.0,0.0018014364005149114,0.004133392533215822,0.33778618985606274,0,0.0018014364005149114,0.004133392533215822,0.533963590303083,2.135854361212332,4,0.00739254431011012,0.007923074568397793,0.00111052069918688,0.002252769089829466,65,4,1,0.010036901338025928,0.7378647873726218,0.0,0,5,nan,nan,0.0,nan,0.8720815992723809,0.009075118228793144,-0.006983923725783825,0.35355339059327373,0.0011278216261416674,-0.0010481053031980991,1.0,-0.006983923725783825,0.00011935896327486262,0.009075118228793144,0.012966655194759369,0.8720815992723809,0.05385421772754213,0
3005,1,2,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.0033614891581237316,4.6301909861767854e-08,0.0033614891581237316,0.0033683693036437035,0.0,1.0,1,-0.00017319724429398775,0.0002782258961815387,0.000315797864459455,0.0,1.0,1,0.0,-0.00017319724429398775,0.0002782258961815387,0.000315797864459455,0.0,1.0,1,0.0,0.0021739015355706215,0.0021848406177014112,0.00246942276135087,0.0,1.0,1,0.0,0.0006208467719864278,0.0008480156416426301,0.0,1,0.0006208467719864278,0.0008480156416426301,nan,0.0,0,0.0013779796400250723,0.0015217677390396754,4.674348435058651e-05,0.0,65,0,5,nan,nan,0.0,0,5,nan,nan,0.0,nan,0.0,0.0033614891581237316,0.0033614891581237316,0.0,0.0002782258961815387,-0.00017319724429398775,0.0,0.0033614891581237316,4.6301909861767854e-08,0.0033614891581237316,0.0033683693036437035,0.0,1.0,1
3005,2,0,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0016941275680437684,5.374833199311979e-05,0.00530482642352581,0.007524519693106413,0.9746794344808964,0.0048182304681985335,0,-8.117607649182901e-05,0.0007878692704252899,0.000888188777025789,0.0,1.0,1,0.0,-8.117607649182901e-05,0.0007878692704252899,0.000888188777025789,0.0,1.0,1,0.0,0.002129581058397889,0.002318404149264097,0.0025898441672325134,0.0,1.0,1,0.0,0.0011986919337079016,0.001808078622170212,0.5706624172009178,0,0.0011986919337079016,0.001808078622170212,0.6289709020331511,2.5158836081326044,4,0.010058347074888074,0.010297772909173003,0.00021249463975668058,0.001043999917566778,65,4,1,0.005270623601973057,0.9486832980505139,0.0,0,5,nan,nan,0.0,nan,0.9746794344808964,0.00530482642352581,-0.0016941275680437684,0.0,0.0007878692704252899,-8.117607649182901e-05,0.0,-0.0016941275680437684,5.374833199311979e-05,0.00530482642352581,0.007524519693106413,0.9746794344808964,0.0048182304681985335,0
3005,2,1,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,-0.0002005482092499733,5.7980701967608184e-05,0.006900769658386707,0.007617146708071232,0.8720815992723809,0.05385421772754213,0,-0.00020410283468663692,0.0009021734003908932,0.0010332063538953662,0.0,1.0,1,0.0,-0.00020410283468663692,0.0009021734003908932,0.0010332063538953662,0.0,1.0,1,0.0,-0.004483443219214678,0.004483443219214678,0.0047509437426924706,0.0,1.0,1,0.0,0.0014014232063324318,0.0018850847531056401,0.570509239797294,0,0.0014014232063324318,0.0018850847531056401,0.6289709020331511,2.5158836081326044,4,0.0037229796016338065,0.00419630389674838,0.0002309803942154379,0.0014219998961985131,65,4,1,0.006409985478967428,0.7378647873726218,0.0,0,5,nan,nan,0.0,nan,0.8720815992723809,0.006900769658386707,-0.0002005482092499733,0.0,0.0009021734003908932,-0.00020410283468663692,0.0,-0.0002005482092499733,5.7980701967608184e-05,0.006900769658386707,0.007617146708071232,0.8720815992723809,0.05385421772754213,0
3005,2,2,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.0035282918252050877,3.624028579451988e-07,0.0035282918252050877,0.003579279873520136,0.0,1.0,1,-0.00039979786379262805,0.00039979786379262805,0.0004789606318809092,0.0,1.0,1,0.0,-0.00039979786379262805,0.00039979786379262805,0.0004789606318809092,0.0,1.0,1,0.0,0.0016509778797626495,0.0020568231120705605,0.0021409939508885145,0.0,1.0,1,0.0,0.0006563288165868078,0.0009150470507062097,0.0,1,0.0006563288165868078,0.0009150470507062097,nan,0.0,0,0.0012557201468063376,0.0014895915549335832,5.442522182539863e-05,0.0,65,0,5,nan,nan,0.0,0,5,nan,nan,0.0,nan,0.0,0.0035282918252050877,0.0035282918252050877,0.0,0.00039979786379262805,-0.00039979786379262805,0.0,0.0035282918252050877,3.624028579451988e-07,0.0035282918252050877,0.003579279873520136,0.0,1.0,1
3005,3,0,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.005407747812569141,6.36221666354686e-05,0.006958200130611658,0.009636695496737957,0.9746794344808964,0.0048182304681985335,0,0.0017799704801291227,0.0024547295179218054,0.004275477025657892,0.9746794344808964,0.0048182304681985335,0,1.0,0.0017799704801291227,0.0024547295179218054,0.004275477025657892,0.9746794344808964,0.0048182304681985335,0,1.0,0.005325707606971264,0.005325707606971264,0.0074416035786271095,0.6668859288553501,0.21889398131323157,0,1.0,0.00124096583530924,0.002097725249423749,0.4317124033610522,0,0.00124096583530924,0.002097725249423749,0.6289709020331511,2.5158836081326044,4,0.004957922394029223,0.005273946689686202,0.00028602932943454543,0.00104399992874265,65,4,1,0.007728717522695661,0.9486832980505139,0.0,1,4,0.009396824243292218,nan,0.0,1.0,0.9746794344808964,0.006958200130611658,-0.005407747812569141,0.9746794344808964,0.0024547295179218054,0.0017799704801291227,1.0,-0.005407747812569141,6.36221666354686e-05,0.006958200130611658,0.009636695496737957,0.9746794344808964,0.0048182304681985335,0
