seed,state_idx,ego_id,neighbor_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,learned_q_range,oracle_q_range_from_surface,capacity_head_q_range_consistency_abs,capacity_q_error_bound,capacity_q_error_bound_violation,direction_head_q_consistency_abs,oracle_direction_q_consistency_abs,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation,learned_direction_from_q,oracle_direction_from_q,direction_weight_l1,direction_q_error_bound,direction_sign_margin,lambda_D,direction_sign_match_from_q,direction_sign_certified,direction_sign_violation,oracle_capacity_rank,learned_capacity_rank,oracle_capacity_topk_member,learned_capacity_topk_member,oracle_capacity_margin_to_topk_boundary
5002,0,0,1,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.005994435399770737,0.0,0.0017336284508928657,0.0017336284508928657,0.0,0.005994435399770737,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0017894153100388756,0.001549889394164791,0.005994435399770737,0.0017336284508928657,0.005994435399770737,0.0017336284508928657,0.003650098806247115,0.004995922092348337,0.003650098806247115,0,0.005994435399770737,0.0,0.0,0.005994435399770737,0,9.768330328646657e-10,1.734723475976807e-18,0,0,7,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.009403523057699203,-0.006406305357813835,0.0029972176998853683,0.0029972176998853683,inf,inf,0,0,0.0017336274740598328,1.734723475976807e-18,1.6615384505345263,0.004979992452982192,1.734723475976807e-18,inf,0,0,0,2,2,0,0,0.011999998241662979
5002,0,0,2,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.00467345118522644,0.0,0.0007765370537526906,0.0007765370537526906,3.469446951953614e-18,0.00467345118522644,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0013450584862985746,0.0011427213586646424,0.00467345118522644,0.0007765370537526871,0.00467345118522644,0.0007765370537526871,0.003176994388923049,0.003078826703131199,0.003176994388923049,0,0.00467345118522644,0.0,0.0,0.00467345118522644,0,9.266148473519031e-10,0.0,0,0,3,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0073523204773664474,-0.005015594884753227,0.00233672559261322,0.00233672559261322,inf,inf,0,0,0.0007765361271378432,3.469446951953614e-18,1.6615384505345263,0.003882559420474943,3.469446951953614e-18,inf,0,0,0,3,5,0,0,0.011999998241662979
5002,0,0,3,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.005422284826636314,0.0,-0.0025898879393935204,-0.0025898879393935204,0.0,0.005422284826636314,0.0,0,1,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0015471200415319666,0.0012889703702644482,0.005422284826636314,-0.0025898879393935204,0.005422284826636314,0.0025898879393935204,0.004578958731144667,0.004486698657274246,0.004578958731144667,0,0.005422284826636314,0.0,0.0,0.005422284826636314,0,7.022180215782159e-10,3.469446951953614e-18,0,0,12,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0070899613201618195,-0.004378818906843662,0.002711142413318157,0.002711142413318157,inf,inf,0,0,-0.0025898872371754988,-3.469446951953614e-18,1.6615384522538923,0.004504667369264533,3.469446951953614e-18,inf,0,0,0,4,4,0,0,0.011999998241662979
5002,0,0,4,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.005527691915631294,0.0,0.00023563361901324242,0.00023563361901324242,3.469446951953614e-18,0.005527691915631294,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0015704037832765623,0.0012878441422648685,0.005527691915631294,0.00023563361901323895,0.005527691915631294,0.00023563361901323895,0.0029944838024675846,0.004568112548440695,0.0029944838024675846,0,0.005527691915631294,0.0,0.0,0.005527691915631294,0,2.690919015391202e-10,3.469446951953614e-18,0,0,12,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.00922057032585144,-0.006456724368035793,0.002763845957815647,0.002763845957815647,inf,inf,0,0,0.00023563334992134088,6.938893903907228e-18,1.6615384505345263,0.004592236330265124,6.938893903907228e-18,inf,0,0,0,5,3,0,0,0.011999998241662979
5002,0,0,5,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.01504535973072052,0.011999998241662979,0.0020159746054559946,0.0020159746054559946,0.0,0.01504535973072052,0.011999998241662979,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.001784613749875851,0.0015230343495247632,0.003045361489057541,0.0020159746054559946,0.003045361489057541,0.0020159746054559946,0.003543416503816843,0.009075704962015152,0.003543416503816843,0,0.01504535973072052,0.011999998241662979,0.0,0.005467845126986504,0,2.0463044054369606e-09,0.0,10,11,10,11,1,1,1,1,1,1,0.0059999991208314896,0.0059999991208314896,0.0059999991208314896,0,0.00816209428012371,-0.005428171716630459,0.002733922563493252,0.002733922563493252,0.4556538273482914,1.360349246016655,1,0,0.0020159766517604,0.0,1.6615384505345263,0.004542517460027958,0.0,inf,0,0,0,1,1,1,1,0.011999998241662979
5002,0,1,0,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.009238934144377708,0.0,-0.0005105089512653649,-0.0005105089512653649,0.0,0.009238934144377708,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.002270973095841708,0.0016896402781564719,0.009238934144377708,-0.0005105089512653649,0.009238934144377708,0.0005105089512653649,0.0015988473314791918,0.003553382121026516,0.0015988473314791918,0,0.009238933853339404,0.0,2.9103830456733704e-10,0.009238933853339404,0,2.6441993776840644e-10,1.3010426069826053e-18,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.008105802058707923,0.0034863351320382208,0.004619466926669702,0.004619466926669702,inf,inf,0,0,-0.0005105086868454271,1.3010426069826053e-18,1.6615384505345263,0.007675421919634267,1.3010426069826053e-18,inf,0,0,0,4,4,0,0,0.017999999225139618
5002,0,1,2,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.01900980807840824,0.017999999225139618,-0.0002631745010148734,-0.0002631745010148734,0.0,0.01900980807840824,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.000976209315133755,0.0007913521265048954,0.0010098088532686234,-0.0002631745010148734,0.0010098088532686234,0.0002631745010148734,0.0015099479351192713,0.0057962858118116856,0.0015099479351192713,0,0.019009807845577598,0.017999999225139618,2.3283064365386963e-10,0.00349417794495821,0,1.6785864278417995e-10,8.673617379884035e-19,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.0029453039169311523,0.0011982149444520473,0.001747088972479105,0.001747088972479105,0.1941210052986048,0.3272560048577788,1,0,-0.0002631743331562306,8.673617379884035e-19,1.6615384505345263,0.0029028555042788897,8.673617379884035e-19,inf,0,0,0,1,2,1,0,0.0
5002,0,1,3,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.017296280711889267,0.017999999225139618,-0.008123529143631458,-0.008123529143631458,-0.008099999606050554,0.017296280711889267,0.017999999225139618,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.0012042403489163145,0.0009910903482549115,0.000703718513250351,-2.3529537580904702e-05,0.000703718513250351,2.3529537580904702e-05,0.002901020459830761,0.004695814102888107,0.002901020459830761,0,0.01729628024622798,0.017999999225139618,4.656612873077393e-10,0.004218200454488397,0,1.5324875465849708e-09,0.0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.0025117697659879923,-0.00040266953874379396,0.0021091002272441983,0.0021091002272441983,0.23434447978181389,0.27908554156823967,1,0,-0.008123527611143912,-0.008099999606050554,1.6615384522538923,0.003504351127223658,0.008099999606050554,0.432635962674118,1,1,0,2,3,0,0,0.0
5002,0,1,4,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.019507015123963356,0.012000000104308128,-0.000929810747038573,-0.000929810747038573,0.0,0.019507015123963356,0.012000000104308128,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018024200170035137,0.001311577688461754,0.007507015019655228,-0.000929810747038573,0.007507015019655228,0.000929810747038573,0.0014565536985173821,0.004589004907757044,0.0014565536985173821,0,0.019507015822455287,0.012000000104308128,6.984919309616089e-10,0.007507015718147159,0,4.550258772204052e-10,1.3010426069826053e-18,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.00596867292188108,0.0022151650628075004,0.0037535078590735793,0.0037535078590735793,0.625584637741133,0.9947788116665536,0,0,-0.0009298112020644502,1.3010426069826053e-18,1.6615384505345263,0.006236597632234282,1.3010426069826053e-18,inf,0,0,0,3,1,0,1,0.0059999991208314896
5002,0,1,5,0,70f17f5f5a57f0f8fb349d223d99eca3fb2dd8677c29ca7a8223a1786c1a90f6,63fdd9cd89c8e8cadd17ebf16365746a179b9b8bc9945cf9cf91696a889ae81d,0.00727585656568408,0.0,-0.00024053659581113607,-0.00024053659581113607,0.0,0.00727585656568408,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018275661669485243,0.0012777506583232499,0.00727585656568408,-0.00024053659581113607,0.00727585656568408,0.00024053659581113607,0.0013748726341873407,0.003168828785419464,0.0013748726341873407,0,0.007275856420164928,0.0,1.4551915228366852e-10,0.007275856420164928,0,3.024300775089639e-10,1.734723475976807e-18,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.009248971327906474,0.0056110431178240106,0.003637928210082464,0.003637928210082464,inf,inf,0,0,-0.00024053689824121358,1.734723475976807e-18,1.6615384505345263,0.00604455760133626,1.734723475976807e-18,inf,0,0,0,5,5,0,0,0.017999999225139618
