seed,state_idx,ego_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,top_k,oracle_core_f1,oracle_core_f1_random_baseline,oracle_core_f1_adjusted,dr_applied,dr_applied_rows,dr_clipped_rows,dr_raw_inverse_max,dr_correction_mean,replay_consistency_abs_error,bias,variance,mae,rmse,rank_correlation,p_value,constant_case,signed_bias,signed_mae,signed_rmse,signed_spearman,signed_p_value,signed_constant_case,sign_agreement,direction_row_aipw_signed_bias,direction_row_aipw_signed_mae,direction_row_aipw_signed_rmse,direction_row_aipw_signed_spearman,direction_row_aipw_signed_p_value,direction_row_aipw_signed_constant_case,direction_row_aipw_sign_agreement,direction_crossfit_aipw_signed_bias,direction_crossfit_aipw_signed_mae,direction_crossfit_aipw_signed_rmse,direction_crossfit_aipw_signed_spearman,direction_crossfit_aipw_signed_p_value,direction_crossfit_aipw_signed_constant_case,direction_crossfit_aipw_sign_agreement,q_mae,q_rmse,q_spearman,q_constant_case,q_centered_mae,q_centered_rmse,q_within_state_action_spearman,q_within_state_action_spearman_sum,q_nonconstant_surface_count,q_raw_mae,q_raw_rmse,q_centered_sq_error_sum,q_centered_oracle_sq_sum,q_centered_value_count,capacity_active_count,capacity_null_count,capacity_active_mae,capacity_active_spearman,capacity_null_fpr,direction_active_count,direction_null_count,direction_active_mae,direction_active_spearman,direction_null_fpr,direction_active_sign_agreement,capacity_rank_correlation,capacity_mae,capacity_bias,direction_spearman,direction_mae,direction_bias,direction_sign_agreement,range_bias,range_variance,range_mae,range_rmse,range_rank_correlation,range_p_value,range_constant_case,oracle_topk_ids,learned_topk_ids,oracle_topk_gap,oracle_topk_unique,capacity_topk_match,lambda_topk_Q,lambda_topk_actual_error,capacity_topk_q_certified,capacity_topk_q_certified_violation,capacity_topk_actual_error_certified,capacity_topk_actual_error_certified_violation,capacity_topk_interval_separation,capacity_topk_interval_certified,capacity_topk_interval_certified_violation,oracle_full_rank_min_gap,oracle_full_rank_unique,lambda_full_rank_Q,strict_relation_pair_count,strict_relation_pair_order_accuracy,q_certified_relation_pair_count,q_certified_relation_pair_violation_count,actual_error_certified_relation_pair_count,actual_error_certified_relation_pair_violation_count,capacity_q_error_bound_violation_count,checkpoint,experiment_seed
3001,0,0,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0004385322390589,0.0001418900064891,0.0102623272687196,0.0119198281317949,0.8944271909999157,0.040519326353834,0,0.0010777864372357,0.0013070388231426,0.0015215578023344,-0.2236067977499789,0.7176856442107861,0,1.0,0.0010777864372357,0.0013070388231426,0.0015215578023344,-0.2236067977499789,0.7176856442107861,0,1.0,-3.0709874408785254e-05,0.0038441834039986,0.004666686989367,-0.2236067977499789,0.7176856442107861,0,0.0,0.0021542999937513,0.0043903566315409,0.1286121164791516,0,0.0021542999937513,0.0043903566315409,0.487258390759096,0.974516781518192,2,0.0093509141642313,0.0097865623182132,0.0012528900378875,0.0014067692036445,65,2,3,0.013376073911786,1.0,0.0,0,5,,,0.0,,0.8944271909999157,0.0102623272687196,-0.0004385322390589,-0.2236067977499789,0.0013070388231426,0.0010777864372357,1.0,-0.0004385322390589,0.0001418900064891,0.0102623272687196,0.0119198281317949,0.8944271909999157,0.040519326353834,0,1,1,0.0179999992251396,1,1,2.341623932756024,1.4862304986218495,0,0,0,0,-0.0414246562868356,0,0,0.0,0,inf,7,1.0,3,0,6,0,0,320,3001
3001,0,1,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.0054040639661252,3.779832331929356e-05,0.0077823339961469,0.008185489103198,0.8944271909999157,0.040519326353834,0,0.0004339738225098,0.001295784022659,0.0013119226787239,0.0,1.0,1,0.0,0.0004339738225098,0.001295784022659,0.0013119226787239,0.0,1.0,1,0.0,-0.0065664635039865,0.0067400089465081,0.0075049623847007,0.0,1.0,1,0.0,0.001241502004888,0.001833858745394,0.4165501002448397,0,0.001241502004888,0.001833858745394,0.6289709020331511,1.2579418040663022,2,0.0085345579323284,0.0087357872192087,0.0002185974633737,0.0003600000062584,65,2,3,0.0049817599356174,1.0,0.3333333333333333,0,5,,,0.0,,0.8944271909999157,0.0077823339961469,0.0054040639661252,0.0,0.001295784022659,0.0004339738225098,0.0,0.0054040639661252,3.779832331929356e-05,0.0077823339961469,0.008185489103198,0.8944271909999157,0.040519326353834,0,2,2,0.0120000001043081,1,1,0.855086739036461,0.8302933153857127,1,0,1,0,-0.0097309253960702,0,0,0.0,0,inf,7,1.0,4,0,4,0,0,320,3001
3001,0,2,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,6.926758214831352e-05,0.0001519093639217,0.0098610520362854,0.0123253464698791,0.8944271909999157,0.040519326353834,0,-0.0001843754143919,0.0008822683012112,0.0009046019404195,0.3535533905932737,0.5594043441634877,0,1.0,-0.0001843754143919,0.0008822683012112,0.0009046019404195,0.3535533905932737,0.5594043441634877,0,1.0,-0.0012864903546869,0.0037669136654585,0.004421713296324,-0.7071067811865475,0.1816901138162094,0,0.0,0.0018939312461511,0.0041071087069908,0.1431366718967741,0,0.0018939312461511,0.0041071087069908,0.4631073346660556,0.9262146693321112,2,0.0018326539540654,0.0042956296576286,0.0010964422255175,0.0011907691998894,65,2,3,0.0143576217815279,1.0,0.0,0,5,,,0.0,,0.8944271909999157,0.0098610520362854,6.926758214831352e-05,0.3535533905932737,0.0008822683012112,-0.0001843754143919,1.0,6.926758214831352e-05,0.0001519093639217,0.0098610520362854,0.0123253464698791,0.8944271909999157,0.040519326353834,0,1,1,0.0299999993294477,1,1,1.356031766280621,0.957174806829724,0,0,1,0,-0.0393961963127367,0,0,0.0,0,inf,7,1.0,2,0,7,0,0,320,3001
3001,1,0,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.015225812792778,7.913725858088583e-05,0.015225812792778,0.0176341328769922,0.8660254037844386,0.0576688856224373,0,0.0075470097362995,0.0075470097362995,0.0076597006991505,0.0,1.0,1,0.0,0.0075470097362995,0.0075470097362995,0.0076597006991505,0.0,1.0,1,0.0,-0.0005933620268478,0.0025743159931153,0.0031298189423978,0.0,1.0,1,0.0,0.0065303976882453,0.0074343101262369,0.2313875748397259,0,0.0065303976882453,0.0074343101262369,0.3144854510165755,0.6289709020331511,2,0.0592994249045239,0.0606872006520373,0.0035924828584495,0.0005760001888275,65,2,3,0.0044490788131952,0.0,1.0,0,5,,,1.0,,0.8660254037844386,0.015225812792778,0.015225812792778,0.0,0.0075470097362995,0.0075470097362995,0.0,0.015225812792778,7.913725858088583e-05,0.015225812792778,0.0176341328769922,0.8660254037844386,0.0576688856224373,0,1,1,0.0,0,1,inf,inf,0,0,0,0,-0.0516170803457498,0,0,0.0,0,inf,6,1.0,0,0,0,0,0,320,3001
3001,1,1,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.005319875665009,3.1257506634574383e-05,0.00733212986961,0.0077174212783575,0.8944271909999157,0.040519326353834,0,0.0002100513374898,0.0008916282095015,0.0009511457174085,0.4472135954999578,0.450184855752101,0,1.0,0.0002100513374898,0.0008916282095015,0.0009511457174085,0.4472135954999578,0.450184855752101,0,1.0,-0.0013048637192696,0.0029525237623602,0.0031144618988037,0.4472135954999578,0.450184855752101,0,0.0,0.0011163955455171,0.001711740464887,0.2196913307255782,0,0.0011163955455171,0.001711740464887,0.602440350587443,1.204880701174886,2,0.0086849900607306,0.0089666970027797,0.0001904536022435,0.0003636923143015,65,2,3,0.004534994252026,1.0,0.0,0,5,,,0.0,,0.8944271909999157,0.00733212986961,0.005319875665009,0.4472135954999578,0.0008916282095015,0.0002100513374898,1.0,0.005319875665009,3.1257506634574383e-05,0.00733212986961,0.0077174212783575,0.8944271909999157,0.040519326353834,0,2,2,0.0120000001043081,1,1,0.8120089989819093,0.7558323687677252,1,0,1,0,-0.006814096472226,0,0,0.0,0,inf,7,1.0,4,0,5,0,0,320,3001
3001,1,2,1,faaf5b2b2491f430d901d13224ce6edd113255ed1068759c05f4d457ed9088dc,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0011321629863232,0.000215401611058,0.0140907857567071,0.0147201707586646,0.8944271909999157,0.040519326353834,0,-4.705390892922878e-05,0.0014233060646802,0.0014774142764508,0.2236067977499789,0.7176856442107861,0,1.0,-4.705390892922878e-05,0.0014233060646802,0.0014774142764508,0.2236067977499789,0.7176856442107861,0,1.0,-0.000852879777085,0.0034477014560252,0.0039381105452775,-0.1118033988749894,0.8579446176050994,0,0.5,0.0026699818119671,0.0054848502302543,0.252089192295048,0,0.0026699818119671,0.0054848502302543,0.6592753215941611,1.3185506431883225,2,0.0075042856355699,0.008450745123288,0.0019554328331408,0.0020344614602803,65,2,3,0.0190286864526569,1.0,1.0,0,5,,,0.0,,0.8944271909999157,0.0140907857567071,-0.0011321629863232,0.2236067977499789,0.0014233060646802,-4.705390892922878e-05,1.0,-0.0011321629863232,0.000215401611058,0.0140907857567071,0.0147201707586646,0.8944271909999157,0.040519326353834,0,1,1,0.006000000052154,1,1,11.30639022322405,6.342895429084366,0,0,0,0,-0.0658947387710213,0,0,0.0,0,inf,7,1.0,0,0,6,0,0,320,3001
3001,2,0,2,7c4873a616ddabf98c34920836aab06b4a014087c1d0bad5dbb86520f6b7f374,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,-0.0002884987625293,0.0001223757135448,0.0094218300655484,0.0110661182552576,0.8944271909999157,0.040519326353834,0,-5.386505654314533e-05,0.0017520202090963,0.0021503008902072,0.2236067977499789,0.7176856442107861,0,1.0,-5.386505654314533e-05,0.0017520202090963,0.0021503008902072,0.2236067977499789,0.7176856442107861,0,1.0,0.0042696222662925,0.0042696222662925,0.0052496921271085,0.2236067977499789,0.7176856442107861,0,1.0,0.0017957922550656,0.0038843276631932,0.1838618433111062,0,0.0017957922550656,0.0038843276631932,0.6080136712242985,1.216027342448597,2,0.0023830464575439,0.0041253281102505,0.0009807200906781,0.0014067692113816,65,2,3,0.0121379104675725,1.0,0.0,0,5,,,0.0,,0.8944271909999157,0.0094218300655484,-0.0002884987625293,0.2236067977499789,0.0017520202090963,-5.386505654314533e-05,1.0,-0.0002884987625293,0.0001223757135448,0.0094218300655484,0.0110661182552576,0.8944271909999157,0.040519326353834,0,2,2,0.0179999975953251,1,1,2.1334331771630204,1.348656898790355,0,0,0,0,-0.0373429919127374,0,0,0.0,0,inf,7,1.0,6,0,6,0,0,320,3001
3001,2,1,2,7c4873a616ddabf98c34920836aab06b4a014087c1d0bad5dbb86520f6b7f374,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.0032660006545484,2.062318890239112e-05,0.0055361585691571,0.0055937422439455,0.8944271909999157,0.040519326353834,0,-0.0002517193206585,0.0008844743715599,0.001089422032237,0.0,1.0,1,0.0,-0.0002517193206585,0.0008844743715599,0.001089422032237,0.0,1.0,1,0.0,0.0078270630910992,0.0078270630910992,0.0080906869843602,0.0,1.0,1,0.0,0.0010217037018851,0.0014107055828353,0.197887410134312,0,0.0010217037018851,0.0014107055828353,0.6289709020331511,1.2579418040663022,2,0.006117939365168,0.0062946297858125,0.0001293558656937,0.0003600000062584,65,2,3,0.0053928205743432,1.0,0.0,0,5,,,0.0,,0.8944271909999157,0.0055361585691571,0.0032660006545484,0.0,0.0008844743715599,-0.0002517193206585,0.0,0.0032660006545484,2.062318890239112e-05,0.0055361585691571,0.0055937422439455,0.8944271909999157,0.040519326353834,0,2,2,0.0120000001043081,1,1,0.936884948756304,0.8988034212444922,1,0,1,0,-0.0100282605271786,0,0,0.0,0,inf,7,1.0,7,0,7,0,0,320,3001
3001,2,2,2,7c4873a616ddabf98c34920836aab06b4a014087c1d0bad5dbb86520f6b7f374,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,1.0,0.2,1.0,0,0,0,0.0,0.0,0.0,0.0025189339648932,0.0001599838142283,0.0115225436165928,0.0128968534991145,0.8944271909999157,0.040519326353834,0,-0.0011165500618517,0.0016676113009452,0.0023879115469753,0.6708203932499368,0.2151699425695502,0,1.0,-0.0011165500618517,0.0016676113009452,0.0023879115469753,0.6708203932499368,0.2151699425695502,0,1.0,-0.0055829999037086,0.0055829999037086,0.0064244186505675,-0.6708203932499368,0.2151699425695502,0,0.0,0.0018415056827571,0.0041044826390412,0.1944816636804927,0,0.0018415056827571,0.0041044826390412,0.5114094468521365,1.022818893704273,2,0.0078293060507768,0.0082853845436518,0.0010950405527224,0.0011907691891434,65,2,3,0.0139147918671369,1.0,0.6666666666666666,0,5,,,0.2,,0.8944271909999157,0.0115225436165928,0.0025189339648932,0.6708203932499368,0.0016676113009452,-0.0011165500618517,1.0,0.0025189339648932,0.0001599838142283,0.0115225436165928,0.0128968534991145,0.8944271909999157,0.040519326353834,0,1,1,0.0299999993294477,1,1,1.309461528988316,0.9276528118771198,0,0,1,0,-0.0371134293964132,0,0,0.0,0,inf,7,1.0,0,0,4,0,0,320,3001
3001,3,0,3,7e7368b32d2c078c1c5c08153b2eec23cc98bc41341eeed55807a2c5f0a20f3c,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,1,0.0,0.2,-0.25,0,0,0,0.0,0.0,0.0,0.018105149269104,9.635962487664074e-05,0.018105149269104,0.020595047622919,0.8660254037844386,0.0576688856224373,0,0.0014177610864862,0.0027682404033839,0.0029870793223381,0.0,1.0,1,0.0,0.0014177610864862,0.0027682404033839,0.0029870793223381,0.0,1.0,1,0.0,-0.0004656215314753,0.0020900629460811,0.0024487695191055,0.0,1.0,1,0.0,0.0067098881718675,0.0077803112659808,0.1619713023878081,0,0.0067098881718675,0.0077803112659808,0.2620712091804796,0.5241424183609592,2,0.1340641881697453,0.134637917538661,0.0039346608207106,0.0005760001888275,65,2,3,0.0062655862420797,0.0,1.0,0,5,,,0.0,,0.8660254037844386,0.018105149269104,0.018105149269104,0.0,0.0027682404033839,0.0014177610864862,0.0,0.018105149269104,9.635962487664074e-05,0.018105149269104,0.020595047622919,0.8660254037844386,0.0576688856224373,0,1,2,0.0,0,0,inf,inf,0,0,0,0,-0.0526562333106994,0,0,0.0,0,inf,6,1.0,0,0,0,0,0,320,3001
